motif,sf_wale,sf_course,knit_dir,pressure,crown_height,mean_stress,max_stress,verts_path,stress_path,H_fit_x0,H_binned_x0,r_x0,H_fit_y0,H_binned_y0,r_y0,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
1,1.3199999999999998,1.26,0.0,1000.0,0.07667656,4009.3981059,4085.86933719,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.260_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.260_stress.csv,0.4237007807477665,0.5807957921195733,0.05286556549185005,0.4222371220190088,0.5197421963744484,0.05526148115529057,0.41500527182699815,0.42306590545168843,1.0194229668196853,179.27760217395507,0.42306462418811824,0.41500655678571147,0.41500655678571147,0.42306462418811824,0.4190355886393433,35,0.028756622860286702,4007.9628088888885,4058.934275,2529.833188888889,4682.145941666667,False
1,1.3199999999999998,1.28,0.0,1000.0,0.072827,4279.17566521,4349.19350766,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.280_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.280_stress.csv,0.40297061074806695,0.5092841757099311,0.052863709791171914,0.4015669464743761,0.4957101125617696,0.05525936190624948,0.3951100134954466,0.4027943369779743,1.019448566779025,179.27697697381103,0.4027931134109634,0.39511124024932454,0.39511124024932454,0.4027931134109634,0.39895217523671045,35,0.027276821540192196,4276.266484444445,4326.038566666667,2559.906742222222,4994.779195833334,False
1,1.3199999999999998,1.2999999999999998,0.0,1000.0,0.06918792,4558.40682138,4622.49221144,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.300_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.300_stress.csv,0.3832892656492086,0.48543575086769947,0.05286181187397792,0.3819613884594726,0.4727556558097781,0.05525815419564281,0.3761970451396226,0.3834616388572259,1.0193106081280014,179.2737595776029,0.3834604718026919,0.376198214930159,0.376198214930159,0.3834604718026919,0.3798293419984242,35,0.025885117523260167,4554.371431111111,4602.597085416667,2591.7638977777774,5313.946960416667,False
1,1.3199999999999998,1.3199999999999998,0.0,1000.0,0.06575252,4846.47610865,4905.13652618,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.320_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.320_stress.csv,0.364638958174663,0.4627034249564622,0.05285991809233615,0.3633955648896192,0.4508740320843822,0.05525760777708781,0.358248347447793,0.3650757109319228,1.0190576272933813,179.27033270341414,0.36507460374041245,0.3582494569760108,0.3582494569760108,0.36507460374041245,0.3616620291898579,35,0.024580365814493427,4841.596655555556,4888.047370833333,2625.3012311111106,5639.579977083333,False
1,1.3199999999999998,1.3399999999999999,0.0,1000.0,0.06251276,5142.86639108,5196.58394608,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.340_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.340_stress.csv,0.346992251950505,0.4410804012320221,0.0528580758900041,0.345836820912519,0.43005062821785284,0.0552575507184915,0.3412375443338088,0.3476272171015166,1.0187249992675402,179.26936316117184,0.34762617813220303,0.34123858528493123,0.34123858528493123,0.34762617813220303,0.3444323807176627,35,0.023353692211113306,5137.370497777777,5181.9075416666665,2660.4201866666667,5971.602981250001,False
1,1.3199999999999998,1.3599999999999999,0.0,1000.0,0.0594598,5447.14124046,5496.36619333,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.360_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.360_stress.csv,0.3303143704632796,0.420542266534332,0.05285630683913562,0.32924683296252283,0.4102674569448043,0.05525784211919895,0.3251326858967999,0.33109612112697534,1.0183415432801743,179.26624901393723,0.33109514317925115,0.325133665526787,0.325133665526787,0.33109514317925115,0.3281144035118876,35,0.02220201414321618,5441.211477777776,5483.763404166667,2697.028513333333,6309.9380458333335,False
1,1.3199999999999998,1.38,0.0,1000.0,0.0565843,5758.9306596,5804.07856482,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.380_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.380_stress.csv,0.31456567718824296,0.4010655921214564,0.05285464394535691,0.3135833973334885,0.37139043899505686,0.055258370292283414,0.3098981894299044,0.315454725581098,1.017930198822444,179.26323668851046,0.3154538068624371,0.30989910957518524,0.30989910957518524,0.3154538068624371,0.3126764575055012,35,0.02112159028761783,5752.7127644444445,5793.257795833332,2735.040813333333,6654.507020833334,False
1,1.3199999999999998,1.4,0.0,1000.0,0.05387674,6077.91954882,6119.37073048,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.400_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.320_c1.400_stress.csv,0.29970343559850043,0.4159019598730016,0.052853095220449384,0.2988022743777532,0.354450151218765,0.0552590667755833,0.2954952139975816,0.30066778155326024,1.0175047422450672,179.26228172469126,0.3006669241001395,0.2954960726571152,0.2954960726571152,0.3006669241001395,0.2980814977754209,35,0.020106376221105865,6071.529188888889,6110.0817375,2774.378931111111,7005.233339583334,False
1,1.3399999999999999,0.9,0.0,1000.0,0.15742105,2360.6135243,2636.08333201,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.340_c0.900_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.340_c0.900_stress.csv,0.8261998782773,1.0737703475002844,0.05281129606050113,0.8210786824230019,0.9116181460042465,0.056672161852129165,0.6951044076017461,0.8176432356140991,1.1762883772167945,89.72877804188764,0.6951070780753807,0.8176404894962837,0.8176404894962837,0.6951070780753807,0.7563738216079225,35,0.07136041984975754,2418.77532,2270.6420869565222,2407.607311111111,62.45381521739131,False
1,1.3399999999999999,0.92,0.0,1000.0,0.15382438,2261.18354103,2503.268045,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.340_c0.920_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w1.340_c0.920_stress.csv,0.8096011894821588,1.0562857907651886,0.05281359145652864,0.8184911372047976,0.994085147936872,0.05648475684559431,0.697231269631895,0.7998103370903071,1.1471234465897793,89.73004592750165,0.6972334858810212,0.7998080597194062,0.7998080597194062,0.6972334858810212,0.748520803361101,35,0.06521508093256047,2325.3128800000004,2186.214293478261,2415.7590999999998,274.9095369565217,False
