sample_id,group,motif,sf_wale,sf_course,pressure,cable_angle,crown_height,cable_tension,mean_stress,L_def_mm,L_flat_mm,L_ratio
168,motif1_cable,1,1.1700204349593648,1.0646925815843593,1056.82163745842,21.73856642909538,0.15820132,0.0,1696.15031313,4021.522896327661,1196.27364,3.361708192723917
170,motif1_cable,1,1.355067985677988,0.977717939664736,226.7956110291937,173.5158704875044,0.03338286,0.0,1982.37642492,3878.7024230493203,1196.27364,3.242320396735751
171,motif1_cable,1,1.350071598748881,1.2283679650958357,255.2250747601564,78.28466839550512,0.01921601,0.0,3505.86032831,3873.9268847871376,1196.27364,3.2383283851236064
169,motif1_cable,1,0.8475574995153825,1.1244968489443496,1182.6895799630884,138.62191205362112,0.18072258,0.0,2603.5241092,4094.445873225995,1196.27364,3.422666634388095
172,motif1_cable,1,0.991242904900174,1.0527595349077474,886.041445339623,4.67024437928229,0.17856651,241.74998892,1421.25405831,4081.8380996425026,1196.27364,3.4121274290073824
173,motif1_cable,1,1.201567686475305,1.1542751627633636,838.1577067576177,11.195084248112426,0.09317894,63.72358804,2424.38009973,3925.0446175093925,1196.27364,3.2810591876866844
175,motif1_cable,1,1.3468641570898967,1.195783013435168,848.3532819377222,147.69692437619366,0.06798118,0.0,3219.05117027,3900.4304860294224,1196.27364,3.260483517825757
174,motif1_cable,1,0.9608437478786724,1.0257238425636603,611.9722092288332,154.53001989842824,0.18653698,0.0,1117.4295277,4097.913890199179,1196.27364,3.4255656508482293
177,motif1_cable,1,0.8515825641715015,0.8033420560001603,419.117322985285,52.98349775404671,0.0,0.0,2208.52110814,3871.726376752327,1196.27364,3.236488916325472
150,motif1_cable,1,1.0186762749037483,1.27460708984627,1045.095196702062,111.43790277923294,0.08490673,0.0,4050.18423623,3924.809232247482,1196.27364,3.280862422286161
178,motif1_cable,1,1.0535184334688057,1.074305497744498,1147.7561557851463,36.8151424622583,0.18827208,0.0,1825.55548872,4100.444050775308,1196.27364,3.4276806858130793
179,motif1_cable,1,0.9712110920855064,1.2603690260462086,757.4898256040536,61.77247960229512,0.06796783,0.0,3767.03315602,3897.1327201844388,1196.27364,3.2577268192455024
181,motif1_cable,1,1.1555094627882692,0.9900350137762544,487.9701996015718,132.35788662481391,0.13140046,0.0,959.73898878,3977.075963771752,1196.27364,3.3245537064343846
176,motif1_cable,1,1.086191961469662,0.8724664842276332,348.43421073894115,65.3604223483575,0.18748297,0.0,890.70913664,4171.968197239361,1196.27364,3.487469804349581
180,motif1_cable,1,1.2986933543574963,1.14706806742079,496.2876054977232,151.0753237234203,0.05088471,0.0,2448.05303573,3887.502515136982,1196.27364,3.249676650182631
184,motif1_cable,1,0.9528452484547812,1.3293975984613906,236.023755955924,128.58796249167395,0.01601971,0.0,4746.366035,3873.5562497031556,1196.27364,3.238018560455078
185,motif1_cable,1,1.1980515692273048,1.373991518242362,1061.8180234205963,60.969541869658144,0.05840763,0.0,5571.22061049,3894.6763121791073,1196.27364,3.2556734362040345
183,motif1_cable,1,0.918717376488549,1.058955249094255,784.8445641017037,108.66382537240553,0.18719929,0.0,1623.84642561,4096.206592230765,1196.27364,3.4241384707187605
187,motif1_cable,1,0.9973981648012652,1.3073638062941098,1117.2142160235314,94.39784248176312,0.07963715,0.0,4561.43767481,3907.786053179619,1196.27364,3.266632250778024
188,motif1_cable,1,0.8409266358831562,0.8467700901223922,726.1790167900078,40.81452815234896,0.0,0.0,1802.34545242,3871.726376752327,1196.27364,3.236488916325472
189,motif1_cable,1,0.8522741842135867,1.2858211275492666,546.5642191213726,16.47705663210667,0.04356099,14.79833114,4178.65110261,3888.1186689882124,1196.27364,3.2501917111441267
186,motif1_cable,1,1.0880599330555638,0.9135451105676388,385.8729402469037,87.56556665376506,0.18304887,0.0,866.05060213,4104.337729699988,1196.27364,3.4309355255040046
191,motif1_cable,1,1.3841744666044509,1.3537537302301217,831.3186093796036,15.463275790091329,0.04347847,14.70483827,5408.26736383,3882.6737798292447,1196.27364,3.245640169609727
192,motif1_cable,1,1.367041637132152,1.3355800940757545,527.8855517553168,135.1378954409332,0.02950884,0.0,5061.54373114,3876.839567630044,1196.27364,3.2407631815995246
190,motif1_cable,1,0.8330566546383715,1.0172503064974228,210.79154363464585,9.333303875799144,0.13709411,105.22060252,757.22838335,4215.799241592406,1196.27364,3.52410945174083
194,motif1_cable,1,1.2442258772215893,1.1359097098835784,1008.622416319605,62.93915773861388,0.10968664,0.0,2394.72469421,3946.579056297944,1196.27364,3.2990604526719696
195,motif1_cable,1,1.2570232988546104,0.9243814247745934,645.4726289243159,141.9111434876862,0.13552576,0.0,1718.3723091,3983.053660446522,1196.27364,3.3295506372994415
196,motif1_cable,1,1.2492699916527772,1.2665799225261252,449.1108186318543,45.732487368267904,0.03391623,0.0,3845.32002669,3878.5998348468115,1196.27364,3.2422346402674327
193,motif1_cable,1,0.957752922932796,0.919165895888589,1106.5822317183388,115.8401828880726,0.30216935,0.0,1109.03213124,4461.06891643276,1196.27364,3.729137521104921
198,motif1_cable,1,1.150408294942174,0.933193421943668,1161.631330763693,71.68916368160043,0.23229314,0.0,1381.4782727,4211.089376332371,1196.27364,3.520172338105161
197,motif1_cable,1,0.8633974693371353,0.9448277779824232,656.3473585943566,155.15546098053468,0.27162988,0.0,987.74087912,4409.820013744032,1196.27364,3.6862970697440365
199,motif1_cable,1,1.2397044178185537,0.9280255955828308,678.1919932913421,112.69732020707131,0.14652208,0.0,1615.26767924,4012.9692845768227,1196.27364,3.3545579793740363
200,motif1_cable,1,1.3741411161013084,0.903199712539055,282.00986156233614,5.848978537124368,0.05719237,44.72533594,2390.43855184,3906.672042312959,1196.27364,3.265701016627734
202,motif1_cable,1,1.0999560856290354,1.349537895590298,623.3296682466021,89.16263525273939,0.03862735,0.0,5071.39735335,3883.369909632016,1196.27364,3.246222084799943
203,motif1_cable,1,0.8360586591210912,1.103158430389822,1081.1157370174228,75.33841217330723,0.18828951,0.0,2375.96667444,4109.080907189338,1196.27364,3.434900485803013
204,motif1_cable,1,1.2554126290055136,1.201484087947413,408.23142274211216,135.636913178072,0.0379653,0.0,2953.49300892,3880.5029558027377,1196.27364,3.2438255145392474
