sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,L_rest,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path
256,motif1_cable,1,True,1.267837821329921,1.4576550733579852,81.08321657806063,560.1798828826743,1.279606046191518,0.02539883,7569.86573964,6946.58430001,210.77805121,377.88497624,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00256_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00256_stress.csv
257,motif1_cable,1,True,1.4308557344067456,1.0650805565006138,5.091698702993479,718.9272838490383,1.3525616998825356,0.07445665,2599.63400531,2571.37648918,0.0,173.04483098,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00257_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00257_stress.csv
258,motif1_cable,1,True,1.1278091808828923,1.2072353029894878,60.75573688403415,681.8259357324199,1.3031407039429492,0.07427459,3532.48185564,2970.77021224,104.35903665,152.23047919,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00258_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00258_stress.csv
259,motif1_cable,1,True,1.1789584409599814,1.3775596386264901,15.162053408562802,874.0639394245014,1.3078118177703253,0.0518871,6141.96765493,5590.92136751,116.3086932,300.93720019,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00259_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00259_stress.csv
260,motif1_cable,1,True,1.4232060489101164,0.9106210911600484,41.498031787368625,806.356318712852,1.2559270032203182,0.08684421,4318.3163363,2756.36534113,376.23084367,163.40080483,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00260_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00260_stress.csv
262,motif1_cable,1,True,1.2465765302618448,1.1231516509628572,56.887573710186885,853.1697949637421,1.350874265697352,0.10812255,2349.81693123,2218.6452163,5.73916166,123.21015117,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00262_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00262_stress.csv
248,motif1_cable,1,True,0.9054888346353611,0.922212072338458,1.3884640033428304,1153.817793025585,1.2710134308202896,0.24202627,3678.76974101,1106.12238811,1314.5853428,33.66475519,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00248_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00248_stress.csv
264,motif1_cable,1,True,1.1403010620529666,1.335656824966612,43.064673270813046,1015.7819801840142,1.2818740241160875,0.06612571,6264.62265752,4950.13945154,250.26735,264.30453851,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00264_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00264_stress.csv
265,motif1_cable,1,True,1.2321282952735526,1.322414434307385,58.512637426822074,1163.1031126325424,1.3905375122849617,0.0819856,4988.80001536,4843.41007792,0.0,256.21452512,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00265_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00265_stress.csv
266,motif1_cable,1,True,1.1201700491407611,0.9705634789598973,53.750468789080756,1198.3489606612566,1.3269999124495078,0.21450982,2385.25787783,1285.26612392,430.99251698,54.15153562,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00266_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00266_stress.csv
