sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path
1645,material_cable,3,True,1.261797802896434,1.3271513331088083,2.3952153149076336,376.82738792539203,4052.214396120225,4.072996347431176,0.7140488840485473,0.03726975,3517.46609545,3125.30581469,10.34101508,29.82592009,170.98985979,0.9652754321726263,0.931662917813468,,
1647,material_cable,3,True,1.0585788190586651,0.9865343415078244,72.67279538423081,997.767500657218,1581.2482509335855,4.761175982709312,0.4547795198833973,0.45854606,1291.56279443,936.90240073,14.99703053,15.12035296,37.45125549,0.9314855541607777,0.963343449950029,,
1648,material_cable,3,True,0.9917450455618961,1.1021362944147517,30.09067235550663,434.5520998305433,5821.096349668442,3.1504020010944562,0.821767817117423,0.10785463,1510.06410487,1070.14179518,14.94844967,17.89865613,62.18734829,0.9579065124252151,0.9648999250555513,,
1650,material_cable,3,True,1.0297975740047678,1.207712262088698,54.736902761815585,494.2129339083065,5078.258086523154,4.751885840227741,0.7425607724608444,0.11078786,1673.66192296,1338.09200013,13.30338299,12.73330756,68.86767986,0.9328965101202481,0.9486518085961935,,
1607,material_cable,3,True,1.3409337680566162,1.0869794578185226,85.00441822994962,810.2058726069283,2755.581662103281,3.8441527047861177,0.49379554040727747,0.15907557,1800.52971386,1622.38412342,11.57778173,4.89790657,86.45077763,0.9276709270432062,0.970069902021914,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01607_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01607_stress.csv
1654,material_cable,3,True,1.2507318967801804,1.1176213383615607,22.166389713276264,476.00510099117645,4497.695899435533,3.4848514734561036,0.7147577335377475,0.05120125,3208.25278327,2707.23838482,12.5520246,34.49487503,161.82660744,0.9359756681073395,0.9237837438664749,,
1656,material_cable,3,True,1.0618671114107496,0.9830505147892673,25.783655234046655,1049.315869030847,1120.8262139413748,4.6156348484642065,0.4817904527093516,0.5419007,1378.35197848,913.66836854,14.7081911,29.07563442,49.44433884,0.9190397797900801,0.9843233008683228,,
1613,material_cable,3,True,0.8665726100184771,1.2614606729388056,51.65688056360281,1072.5316024684762,1182.896645734047,3.334473823217421,0.8014805384469101,0.35833845,1403.52897561,900.37429472,27.23007621,20.88487754,33.83604064,0.9252512425311189,0.9213170959581887,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01613_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01613_stress.csv
1658,material_cable,3,True,1.1892388136978012,0.9304920725309207,16.25291884189143,1189.694696900404,7036.776240911105,4.171270846078634,0.8038737117046972,0.09402145,4532.4249374,3546.30506314,10.97470288,65.5301245,227.84506359,0.9691464310892857,0.9369740826768962,,
1659,material_cable,3,True,1.3330299227603142,1.1511896854890402,45.936288098360166,535.1260063404079,4439.538649998252,4.702078673410462,0.8489841264053158,0.0250692,7027.13177919,6318.6336591,19.85668589,47.7376462,373.62068557,0.9298689961564254,0.9045151622043743,,
1660,material_cable,3,True,0.8070176661967362,1.2967230834240397,3.257308675240611,1042.9230998970706,1235.4646157172876,4.642775612673154,0.7249069692489839,0.45173407,1334.40306978,821.47092328,24.22829039,17.33744944,24.48610706,0.9492327568734235,0.9913831912029037,,
1661,material_cable,3,True,0.9523504422526299,0.9538058533051514,29.342207866298047,462.9543848633628,4608.291641670835,4.383861716803209,0.686238540992489,0.25497696,998.49496398,563.28262591,12.23988391,19.18492276,26.68379185,0.9168107001878638,0.9472277252582426,,
1662,material_cable,3,True,1.079623635534824,0.9087363096194553,21.441539461104647,520.8618976430093,1140.8892205970228,3.905958606223498,0.7865516349878099,0.27280791,829.6203905,579.80469931,6.62300235,12.7421818,30.28774153,0.9275124551814865,0.9763421552882311,,
1663,material_cable,3,True,0.8487370925315576,1.3591078876881646,33.7147363167318,532.842982946355,7757.994342028613,3.066217132237196,0.609599210836263,0.11138977,1423.15514888,1174.30491921,24.04947419,9.47654836,82.60461859,0.9533583478735899,0.9735753991963053,,
1664,material_cable,3,True,1.0968997524795385,0.8193474580099932,4.508937743047464,710.8070903561165,6336.022653642174,4.676098036569751,0.6464548518068376,0.17385584,1765.6100194,1216.44383292,13.94836401,36.89221504,77.79664946,0.9223998578901486,0.9607967708762114,,
1665,material_cable,3,True,1.0858678575978835,0.901818329249921,31.28325274267373,770.531133248739,7552.444006764078,4.931076624070526,0.6788957777263464,0.15979654,2148.367905,1501.60680983,11.58012508,31.15429244,82.51527391,0.9162135496943127,0.9303060360896726,,
1666,material_cable,3,True,1.1411455743285,0.8275433086652625,54.71985852334235,1003.6423607509626,3172.349819588759,4.202561203930701,0.6499594304909662,0.25098961,1572.76501698,1249.31096856,6.63286314,12.69880423,68.95131023,0.9487598291956363,0.9554157001593692,,
1667,material_cable,3,True,1.383773324422318,0.8383499066463064,64.9429299479967,703.7559829856777,2886.1930086612833,3.674742471129437,0.6366837900877266,0.09509812,2022.92019302,1898.24740913,4.7025326,7.73287231,137.78691208,0.9494015544821055,0.9215890368661531,,
1668,material_cable,3,True,1.3301388871585813,1.2685503712269834,14.08600950646148,1177.493266190839,7844.9090249438605,3.748398538558713,0.6204734655142822,0.06768569,5845.0668809,5509.90588219,4.24673743,24.71319922,298.73589337,0.9962352919983473,0.9751895892376794,,
1669,material_cable,3,True,0.8519060469071912,1.331562006934795,13.598574553090678,602.939102883319,5524.779262862171,4.019040125218708,0.48409115292295224,0.20945936,1283.28429049,746.08796326,23.40894479,11.4412254,46.11988037,0.9132300827198018,0.9691912985722217,,
1598,material_cable,3,True,1.3272584689665656,1.0546798941169468,84.2360199401129,761.2259550905829,3252.8346236398093,3.9456970834340956,0.6530915558197802,0.10635701,2336.21354537,2163.89239812,9.67712056,4.02257091,124.38018273,0.951260163145621,0.9743744003886567,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01598_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01598_stress.csv
1671,material_cable,3,True,1.10075502704974,0.8136360678184771,1.9596658997755942,609.0158437441971,2736.929879286439,3.60144271669518,0.5424121393960183,0.25642178,1032.53767226,731.86821405,12.39290106,20.73176725,46.84431261,0.9026089833689754,0.9789690893399466,,
1614,material_cable,3,True,1.2322761197549406,1.0056586372492147,19.03647140538617,228.86172145590686,1957.8734489230812,4.473882156522519,0.7915523519840888,0.05602195,1290.45049495,1237.0678229,2.33606582,2.27001507,72.62264926,0.9713198811227945,0.9953723251726194,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01614_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01614_stress.csv
1674,material_cable,3,True,1.0984359926503546,0.8967445321068241,72.41644611788105,1168.2053689727813,2040.7608495704428,3.8950332259657543,0.7957534802498505,0.2859455,1725.18429098,1281.32473381,11.79115101,13.87269106,59.77667363,0.9840464011088532,0.9124600705284119,,
1615,material_cable,3,True,0.8883213654626526,1.0148633924331234,55.30427801583767,450.69183422556074,7691.379421127326,4.364524889813866,0.6639474328759551,0.26722932,981.96810205,509.01643541,14.87991302,20.16982986,25.51804112,0.9877861790681994,0.9054730826290829,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01615_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01615_stress.csv
1676,material_cable,3,True,1.396221227632998,1.3117640036654663,46.26896147890832,872.5692554558349,3500.405897306344,3.468580489306549,0.5407009343879513,0.10251522,2913.58130785,2657.79618844,6.03266843,19.64734497,142.56183283,0.9763471257143357,0.9243742684368275,,
1624,material_cable,3,True,1.1921131863156285,1.1297435636133737,50.86621235583797,877.2737794320986,4958.001259637382,3.119981944518535,0.7802944048806886,0.07961978,3681.24977043,3195.16499184,16.74477966,28.72297246,182.47084936,0.9397918351036317,0.9187262454692064,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01624_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01624_stress.csv
1678,material_cable,3,True,1.3140235830462168,0.9607326184239083,85.22522020111538,1028.4439034911948,6648.310272999227,4.668454914195232,0.6348847807089433,0.08290484,3907.13625606,3700.11397139,7.73250382,7.21976054,225.41284289,0.9823350291570718,0.946094953515168,,
1679,material_cable,3,True,0.9103605744807741,1.3782757697087338,82.82087258740798,252.41431633654406,6137.413541450838,4.30515976461386,0.6391109131877211,0.06938289,1073.7737319,811.07067049,18.42753589,10.47853129,60.06289155,0.9137533558593908,0.9604702544091641,,
1680,material_cable,3,True,1.132931057200123,0.8298744424932798,49.13463180081077,582.1422979299884,6051.091732687841,3.3797832651892663,0.5029514979659641,0.16144554,1411.68214108,1230.2960674,6.24527128,8.70778486,67.10374503,0.9243103135629722,0.9761154283072099,,
1681,material_cable,3,True,1.0943000552710767,1.1681369730742455,74.54432210418325,452.05481982085064,3559.0691843963,4.420067491483793,0.574582039378406,0.15637133,1078.58405088,942.85865142,4.72039291,3.77680407,43.63210081,0.9899856955688202,0.9895057052276025,,
1633,material_cable,3,True,0.9260039181039948,1.0019044934347676,30.945961356406812,1065.7530537477332,6591.931566881381,3.1685245111678095,0.7817958057397395,0.2642911,1836.70794179,1128.33308309,27.76583224,29.53488587,52.59292167,0.9780338078321729,0.9893843535816726,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01633_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01633_stress.csv
1683,material_cable,3,True,1.3590846818573667,0.9779588440015405,81.0720776744908,730.0534224673187,5637.340328778738,4.539903359335533,0.47070459652353785,0.07758524,3014.98780516,2887.81221041,4.37669699,6.50756942,173.91249395,0.9875861252300996,0.9271561725744415,,
1626,material_cable,3,True,0.9675599592962694,1.0366096623360332,68.6074451756122,826.7735409341038,4424.088944156671,3.579686700553385,0.6767046216199848,0.26613016,1371.9484947,917.40367474,20.16900795,14.33565091,38.28060443,0.9321220895111337,0.9723115104657881,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01626_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01626_stress.csv
1627,material_cable,3,True,1.1753926352627218,0.8087989187421329,22.79367191663529,901.2873709196704,7816.061784595919,4.446116174108463,0.6894161267181417,0.11521988,2812.88046832,2252.02043591,4.89181759,35.87532344,147.64547092,0.9776654329096827,0.9542328351873771,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01627_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01627_stress.csv
1687,material_cable,3,True,1.2114750958810112,1.2850114909082169,44.117714470717,927.5495080008046,3627.9895041864806,4.138072679437444,0.6494948749034133,0.13697424,2475.45028521,2140.84168145,15.42680804,18.4303273,106.10962262,0.9105181727381033,0.9365740093167368,,
1628,material_cable,3,True,1.1684005041855419,0.9526647447826007,77.2200629145044,251.2727243181449,6557.839711005936,3.347124991709297,0.4722458905902966,0.06121451,1498.8703007,1392.04021165,10.52692583,2.53320074,74.75399133,0.9118114717506929,0.9844437389037713,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01628_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01628_stress.csv
1689,material_cable,3,True,1.2554162932314656,1.1702920019184546,73.83122195240728,1063.3567494380463,1519.9860239999218,4.115095580328914,0.8203238990618826,0.1788944,2167.18123719,1868.81594178,12.61997169,8.26958249,91.51267941,0.9318425486468941,0.9646413839046204,,
1690,material_cable,3,True,0.8536129309619427,1.1238667664077773,46.89031216164051,719.765968695524,5858.389309930712,3.922517710967461,0.4832616367091367,0.30345231,949.81122573,641.54993253,25.35899622,19.23223272,31.30101279,0.9390064714385977,0.9820821700136266,,
1631,material_cable,3,True,1.120701905973379,0.9350436527976558,22.41852690940934,641.3693857418828,2840.8295167830784,3.3902803418607075,0.7257118438148948,0.18815315,1380.78742596,990.39209292,6.01163161,21.99310651,56.53212778,0.9768665603902054,0.9404326425126667,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01631_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01631_stress.csv
1692,material_cable,3,True,1.3285203073353988,1.1377807940799969,26.76035260256092,695.7507649300428,7495.213344525011,3.671779207687641,0.6021058752742019,0.04802639,4744.48318772,4486.9295971,13.8666573,14.62458814,256.32879378,0.942760764525347,0.9812499708843355,,
1693,material_cable,3,True,1.2221524042364513,0.9288203552391414,40.03975092555685,802.9034420992281,6270.608296371652,3.417379362886091,0.6889157577259061,0.08995063,2980.83880007,2566.93243764,12.28297468,25.63398677,159.10374704,0.9139625933581303,0.9337337422206519,,
1694,material_cable,3,True,1.0828426133836415,0.9020012040206508,62.074216549501536,787.1787815629764,6903.203003162763,4.571266452489337,0.7489045616917387,0.15925574,1885.30741209,1550.22404618,13.5034545,8.17093497,79.61252758,0.9057130198575851,0.9796761659189733,,
1695,material_cable,3,True,1.2295368228543166,1.3816976336089073,89.65465482480727,258.1292020995362,4689.181353441491,3.9991939856137835,0.49960835491605277,0.03843053,2339.97741197,2036.69263189,20.29323544,13.17274724,107.43926836,0.9028143829970505,0.913679951862191,,
1636,material_cable,3,True,1.2227521114312272,1.0174547842469208,53.04838256442154,623.4866696677898,1056.4794107935272,3.38286417906731,0.7651467523362432,0.21847307,1031.67040545,867.92018945,4.24638901,6.47835023,44.03059088,0.9693195610998024,0.9724977795227939,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01636_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01636_stress.csv
1697,material_cable,3,True,1.158025102212601,1.201396704314539,60.22886588308624,1058.7540296975376,3691.7066714128637,4.341231629429666,0.6997739971572752,0.16806779,2453.42066652,2022.06814306,10.20326855,20.2900523,96.11743358,0.9745442203765307,0.901279512694713,,
1698,material_cable,3,True,1.337964090096766,1.146645143514305,75.0211637460289,444.20711162830764,1257.1397884353933,4.66219171647624,0.6047222277561533,0.15741975,1015.29709061,908.44687567,3.3408401,4.5191696,46.73430707,0.9720496320354773,0.9135635606813168,,
1699,material_cable,3,True,1.0080436110873476,1.1434751754209804,35.23724241756742,362.4391968999305,2595.46765943038,3.902448370372252,0.8098035957431751,0.13899074,1061.52810003,754.55137723,6.4477067,13.91405411,40.41631077,0.9728294032914964,0.928433792218527,,
1651,material_cable,3,True,1.239071973322931,1.0399462998984028,0.15311421446927054,1013.8383442860788,5613.801504240337,3.255168190964008,0.8047710848335965,0.06906604,4753.03016787,4138.48692331,7.07333755,51.85569301,257.71229057,0.9902706005890831,0.9471710597053642,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01651_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01651_stress.csv
1701,material_cable,3,True,1.0127380056402981,1.0103794001432262,66.66226094324723,746.1304082534976,2027.4643075615716,4.489678633599733,0.6280803289949229,0.33883848,1116.15467902,771.5140592,11.4893536,12.95584545,26.90498549,0.9425504225443724,0.9072766028561668,,
1702,material_cable,3,True,1.295643334948859,1.3825124744327337,43.51574977297047,677.9941603977793,4179.631028172805,4.552576652767387,0.8837146339656192,0.02396607,9979.78667155,8814.82275857,39.03015186,69.28941187,474.1940224,0.9192649479105535,0.9015044970364815,,
