motif,knit_dir,sf_wale,sf_course,pressure,crown_height,mean_stress,max_stress,verts_path,stress_path,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed,H_fit_x0,H_fit_y0,H_binned_x0,H_binned_y0,fit_rms_resid_frac,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm
1,30.0,1.0,1.0,1000.0,0.24971803,1300.82687056,1637.94035899,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th030.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th030.00_stress.csv,1.379015725084263,1.0645252035077843,0.0542657172004937,0.0566537616280915,1341.2690840909088,1479.3011636363638,821.4182159090907,1675.975825,False,1.1959984392781584,1.199134914774293,1.379015725084263,1.0645252035077843,0.0023517571592115,0.944517294463293,1.1328354621987513,1.1993803277498134,151.06687775511907,1.0887755078430317,0.9886036381626874,0.9445828695021333,1.1327702037387828,1.0386763783310222,35,0.10117880579948106
1,31.0,1.0,1.0,1000.0,0.24971866,1300.77010937,1637.85381214,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th031.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th031.00_stress.csv,1.3837831864506829,1.0655534059341971,0.0542743117768595,0.0566984488504797,1346.011977272727,1475.2796522727274,819.2728181818183,1670.912061363637,False,1.1963110910003334,1.1991537674834256,1.3837831864506829,1.0655534059341971,0.0023321700715603,0.9446433129723593,1.1327451387381904,1.1991247100177536,150.09327346036886,1.0860016408415936,0.9914138042913894,0.9447121322313137,1.1326766901152936,1.038694225855275,35,0.10122905527744125
1,32.0,1.0,1.0,1000.0,0.24971933,1300.71294232,1637.75678975,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th032.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th032.00_stress.csv,1.3883965228258668,1.066574699041403,0.0542814826687445,0.0567421972729099,1350.8041613636365,1471.1637818181816,817.1052636363637,1665.7359431818184,False,1.1966153825869776,1.199163500412712,1.3883965228258668,1.066574699041403,0.0023135743508305,0.9447721966979066,1.1326526876086418,1.198863272614711,149.11906895701406,1.083176960083649,0.9942754859820925,0.9448442550655154,1.1325810553768665,1.0387124421532743,35,0.10128494368931049
1,33.0,1.0,1.0,1000.0,0.24972004,1300.65539636,1637.64961598,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th033.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th033.00_stress.csv,1.39283802974166,1.0675833316235237,0.0542871871930274,0.0567849242474091,1355.6388227272728,1466.9569545454544,814.9189090909093,1660.4524659090907,False,1.1969104916573614,1.1991634281196513,1.39283802974166,1.0675833316235237,0.0022960595340213,0.9449038126912165,1.1325577684937138,1.1985958287839193,148.14408325009703,1.0803041915945546,0.9971854826432095,0.9449790754854966,1.1324829885217371,1.0387307905924652,35,0.10134600972228915
1,34.0,1.0,1.0,1000.0,0.24972079,1300.59750632,1637.53264006,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th034.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th034.00_stress.csv,1.3986111511460793,1.0685902070403768,0.0542913741620956,0.056826540774945,1360.509272727273,1462.662743181818,812.7170522727272,1655.0667249999997,False,1.1971954549421036,1.1991528723892853,1.3986111511460793,1.0685902070403768,0.0022797138744949,0.945038197943289,1.1324608382300616,1.1983228198549702,147.16836309916673,1.0773873986874871,1.0001402236934578,0.945116629849386,1.132382946837496,1.0387495180866753,35,0.10141301133747802
1,35.0,1.0,1.0,1000.0,0.24972158,1300.53931514,1637.40623408,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th035.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th035.00_stress.csv,1.402608141351326,1.0695615224586554,0.0542940116879415,0.0568669697421593,1365.4089863636364,1458.2848045454546,810.5029227272724,1649.584025,False,1.1974696098510158,1.1991312464010535,1.402608141351326,1.0695615224586554,0.0022646231227708,0.9451759124896756,1.1323610340683246,1.1980426279438152,146.1918730856528,1.0744296928939772,1.0031362935580552,0.945257466307171,1.1322800792399736,1.0387684732790001,35,0.10148668511300113
1,36.0,1.0,1.0,1000.0,0.2497224,1300.48087392,1637.27079077,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th036.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th036.00_stress.csv,1.0929576852984857,1.067167840572374,0.0542950641912872,0.0569061402927158,1370.3315613636364,1453.8269340909092,808.2796818181815,1644.0098022727277,False,1.197732243743772,1.1990979012849283,1.0929576852984857,1.067167840572374,0.0022508590833072,0.9453163449750214,1.132258574206845,1.1977562645833266,145.21453830187102,1.071434556355506,1.0061698159479406,0.9454009569339608,1.132174620256805,1.0387874595909332,35,0.10156499390493094
1,37.0,1.0,1.0,1000.0,0.24972325,1300.42224201,1637.12672108,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th037.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th037.00_stress.csv,1.0933646278908515,1.0680717838740343,0.0542944960146974,0.0569439654056682,1375.270725,1449.2930045454543,806.0504318181819,1638.3496704545455,False,1.1979827155208755,1.19905225492413,1.0933646278908515,1.0680717838740343,0.0022384984997057,0.9454599851320916,1.132153381368418,1.1974630329915477,144.23637122985605,1.068405915231067,1.009237276120838,0.945547586158977,1.1320664977025372,1.0388066832502547,35,0.1016486391096842
1,38.0,1.0,1.0,1000.0,0.24972413,1300.36348687,1636.97445183,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th038.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th038.00_stress.csv,1.093690650338564,1.0689422465246687,0.0542922886861177,0.0569803927451284,1380.220352272727,1449.5007976744184,803.818159090909,1640.5876651162791,False,1.1982205408443276,1.1989937445134395,1.093690650338564,1.0689422465246687,0.0022275914287251,0.9456069741064287,1.1320452804564156,1.197162575420053,143.25728240448967,1.0653472802325779,1.0123351286120352,0.9456974757063341,1.1319555556398848,1.038826127281422,35,0.10173835316901869
1,39.0,1.0,1.0,1000.0,0.24972504,1300.30468387,1636.81442321,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th039.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th039.00_stress.csv,1.0852581884090184,1.0697737823451343,0.0542884206637301,0.0570153418522624,1385.1744500000002,1445.0333604651164,801.5858136363634,1635.0391000000002,False,1.1984452264726864,1.1989218406051891,1.0852581884090184,1.0697737823451343,0.0022182079174584,0.9457570730466467,1.131934212549728,1.1968551383954584,142.27727354339126,1.0622624376316323,1.0154592885516238,0.9458503803129823,1.1318417413396786,1.0388456427981874,35,0.10183252299916042
