motif,sf,knit_dir,pressure,crown_height,mean_stress,max_stress,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
1,1.2,0.0,1000.0,0.10395386,3074.10568888,3189.50401613,0.7630923570902806,0.7635295085151826,0.05294059714656634,0.05524764862612333,3062.5560355555563,3156.824876595744,1689.1089955555553,3641.0492191489357,False
1,1.21,0.0,1000.0,0.09959994,3207.79094907,3316.11536579,0.7352371594210391,0.7358650829182654,0.052927953189245786,0.05524825230756005,3197.1313044444437,3285.3042063829794,1758.717691111111,3789.4451489361695,False
1,1.22,0.0,1000.0,0.0955068,3344.49244972,3446.28698112,0.7085927043625263,0.7094048426605064,0.05291690634018016,0.055248960019107965,3334.6402888888892,3417.7720937499994,1830.1652377777777,3942.4669104166665,False
1,1.23,0.0,1000.0,0.09165933,3484.03897061,3579.81050375,0.683159694343504,0.6841453125896723,0.05290726086307297,0.055249750555553874,3474.9195644444444,3552.867658333333,1903.3382199999999,4098.455254166666,False
1,1.24,0.0,1000.0,0.0880424,3626.2736788,3716.49161561,0.6589143323278903,0.6600646087742068,0.05289883537695813,0.05525060037620319,3617.819515555556,3691.0039854166666,1978.132766666666,4257.937710416666,False
1,1.25,0.0,1000.0,0.08464116,3771.05399401,3856.15096531,0.6358306464612552,0.6371257871107776,0.05289146809186852,0.05525147880772453,3763.2041933333326,3832.0104020833337,2054.4545,4420.71961875,False
1,1.26,0.0,1000.0,0.08144123,3918.25105701,3998.62436751,0.6138652076588897,0.5486611040781014,0.05288502600879753,0.05525237493056795,3910.950846666666,3975.731147916667,2132.218108888889,4586.623077083333,False
1,1.27,0.0,1000.0,0.07842888,4067.74893955,4143.76248165,0.5929784945498103,0.530293855406849,0.05287938527091569,0.05525328594540654,4060.949082222222,4122.024895833333,2211.346855555555,4755.48656875,False
1,1.28,0.0,1000.0,0.07559108,4219.44370709,4291.4301378,0.5731194593583746,0.5128100240645234,0.052874432269620984,0.05525418452580095,4213.099902222222,4270.764022916667,2291.7719688888897,4927.1641479166665,False
1,1.29,0.0,1000.0,0.07291561,4373.24239845,4441.50546191,0.5542393940075481,0.49616832259578025,0.05287008629334567,0.05525507498096523,4367.314877777778,4421.833689583334,2373.4319622222224,5101.524339583334,False
1,1.3,0.0,1000.0,0.070391,4529.06203413,4593.8788431,0.493315294798262,0.4803229707475554,0.05286626355608468,0.055255938662149555,4523.514997777778,4575.130779166667,2456.2719111111114,5278.449106250001,False
1,1.31,0.0,1000.0,0.0680066,4686.82859417,4748.45192333,0.4776281924563996,0.46524058004792035,0.052862892559755174,0.05525679016705997,4681.629844444445,4730.562897916666,2540.2428822222223,5457.832570833333,False
1,1.3199999999999998,0.0,1000.0,0.06575252,4846.47610865,4905.13652618,0.4627034249564622,0.4508740320843822,0.05285991809233615,0.05525760777708781,4841.596655555556,4888.047370833333,2625.3012311111106,5639.579977083333,False
1,1.33,0.0,1000.0,0.06361958,5007.94577466,5063.85367532,0.4484996320076561,0.43718879053188753,0.05285729528678376,0.05525840560582969,5003.359506666667,5047.510210416666,2711.408053333333,5823.606479166668,False
