sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
2023,material_ext_nocable,3,False,1.3268022577133851,1.3024386966010326,37.20581181408358,459.1341914703307,15292.37782281355,2834.3528035114687,5.395368496070032,0.1294124946141916,0.19660639,3538.08948361,2037.50357051,13.78007962,118.34564944,,,,,2.2729494783212076,0.07974591641037564,5.014750133876643,0.08694914575536251,1942.7535295454545,1963.9987782608694,-0.7524461219467177
2024,material_ext_nocable,3,False,1.2110008593346961,1.023507947525083,62.628795499365374,915.2795629942266,16864.130251779225,4470.876742191533,3.7719962379264276,0.13950558499380555,0.15392346,1347.96416647,1044.87865074,28.66358058,43.46651506,,,,,1.1017949986861297,0.0538305504442182,0.9828603610409435,0.055522706129459524,1031.899277777778,1162.5235456521739,0.11410484432377094
2025,material_ext_nocable,3,False,0.8169601411527418,1.1500408055075657,21.112261394847746,960.7960693305668,14383.128456256622,19809.107016995637,0.7260866652856344,0.1670400730568762,0.07741306,2812.2516075,2740.62817008,5.10839436,174.98632211,,,,,0.5870196516355337,0.052792030303332564,0.6295991969562832,0.05529489727850269,2761.853253333333,2769.2726708333334,-0.06999652417029942
2026,material_ext_nocable,3,False,1.0379648854723156,1.1030967748590554,0.5956858348497562,435.4148801893851,13001.595526662699,16903.879066498346,0.7691486359737659,0.2936484730044261,0.0,2658.60578111,2658.60578111,0.0,75.10602219,,,,,,,,,,,
2029,material_ext_nocable,3,False,1.1743356597742403,1.2543937663084275,15.94692639439308,500.57121311065134,14989.643330794062,15976.79417566528,0.9382134592198242,0.1124667516047071,0.10669998,2036.21299651,1967.52514664,10.16337197,121.82911457,,,,,0.7716496296471053,0.05280965315162756,0.8072122591997922,0.055356533374208275,1999.0785200000003,1979.77070625,-0.04504843622346182
2027,material_ext_nocable,3,False,1.0594574026033516,1.2030885525212835,41.949528539213624,805.1069799663469,11837.474399205328,2381.2249509068797,4.971170151185034,0.1507000782657148,0.03214566,5779.52711737,5730.47655527,4.99338316,398.4787563,,,,,0.25809762846553147,0.05307928652892364,0.23031784387476728,0.055280812031380515,5725.3564799999995,5741.914347916667,0.11375472794772108
2021,material_ext_nocable,3,False,1.2475384815877577,1.0818193007406096,61.190548290114606,416.45731147038623,10196.18760609117,14326.93646155781,0.7116795438752515,0.11382471555095584,0.13293718,2800.42827412,2548.39058146,12.16910157,133.7940292,,,,,1.0330997001550766,0.052908201669221784,0.9702469185830521,0.056209061713456576,2651.9969511111112,2538.409714893617,0.06274778511530298
2033,material_ext_nocable,3,False,1.1760344152904225,0.8187636736350801,46.11987951290937,785.4886641801639,13889.994538560177,3047.260981119586,4.558190002307216,0.12563375115977016,0.0,2986.99847267,2986.99847267,0.0,164.30272781,,,,,,,,,,,
2031,material_ext_nocable,3,False,0.809883868397704,1.3552602867952122,54.12353202485558,1099.7639760471197,15986.652218329033,3175.2192191976196,5.03481842188171,0.18981095715566032,0.10950788,1101.7676407,1011.98982725,5.83166514,60.32206063,,,,,0.8086074994614393,0.052927977440110734,0.6225751305627076,0.056165380049526106,1033.7350333333331,983.3958374999999,0.25997013238707756
2030,material_ext_nocable,3,False,1.3154200461105021,1.2580015159200826,31.33167858312784,227.71931039454716,10053.894694232838,13114.641039257272,0.766616079245904,0.09494590904072697,0.1166086,4358.06554748,3718.85477655,21.88559753,239.76330811,,,,,,0.0842053824431837,,0.12301467004720298,,,
