sample_id,E1,r,E2,nu,e2_over_e1,grid,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm
8342,16000.0,0.625,25600.0,0.44285714285714284,1.6,A,1.089639531171677,0.05288960939990962,0.8707155912617257,0.055306116054054145,4318.68422,4363.253447916667,0.3516575572722506,0.35753477067250716,1.0167128880887564,179.22945129602778,0.3575337077799735,0.35165862220526395,0.35165862220526395,0.3575337077799735,0.3545961639723789,35,0.02411653239495679
8352,20000.0,0.625,32000.0,0.1,1.6,A,1.170881824556879,0.052941447541984495,0.9478906534645407,0.05533544975938252,3563.6684822222223,3648.8316312500006,0.4257001448309353,0.43626394389894024,1.0248151173925493,179.39098655654598,0.436262750471661,0.4257013425862025,0.4257013425862025,0.436262750471661,0.4309820443649378,35,0.02983371256388568
8353,20000.0,0.625,32000.0,0.15714285714285714,1.6,A,1.1488828432706903,0.052927780186362273,0.9270879214644504,0.05532850799897791,3743.0351511111116,3818.7898395833327,0.4058370503619333,0.41501695130249294,1.0226196719406788,179.35505464244844,0.41501578823340224,0.405838217032012,0.405838217032012,0.41501578823340224,0.4104270008322131,35,0.02826976644420931
8357,20000.0,0.625,32000.0,0.3857142857142858,1.6,A,1.0540401906807628,0.05288151516134789,0.8351161071236616,0.05530273482459405,4848.542908888889,4892.499583333333,0.31514600291661304,0.32003763469386076,1.0155217953963454,179.1769676059515,0.32003662543211175,0.31514701362887043,0.31514701362887043,0.32003662543211175,0.3175918188052369,35,0.02149357864731579
8354,20000.0,0.625,32000.0,0.2142857142857143,1.6,A,1.1262125422377454,0.052914914969600574,0.905411083288644,0.055321655863298846,3953.025133333333,4019.9889812500005,0.3848473302346926,0.39277341989308684,1.0205954128707626,179.3162785994172,0.3927722912976099,0.38484846177953147,0.38484846177953147,0.3927722912976099,0.3888103750638897,35,0.02665264434331057
8355,20000.0,0.625,32000.0,0.27142857142857146,1.6,A,1.1028567278723973,0.052902888226539026,0.8828565969659791,0.05531499885410618,4200.475611111111,4259.227504166666,0.3627299289869103,0.36952725312301143,1.018739352870842,179.27442749593055,0.36952616314050085,0.36273102134294327,0.36273102134294327,0.36952616314050085,0.3661285910549609,35,0.024983368212344658
8358,20000.0,0.625,32000.0,0.44285714285714284,1.6,A,1.0285712937699698,0.05287226288702557,0.8099468413451146,0.05529733007206486,5280.302953333333,5317.642966666666,0.28972373317155425,0.29382560960959053,1.0141578889417644,179.12355590644805,0.2938246498895131,0.28972469398240797,0.28972469398240797,0.2938246498895131,0.2917746713905724,35,0.019675651128582623
8356,20000.0,0.625,32000.0,0.3285714285714286,1.6,A,1.0788017536490335,0.052891737481012814,0.8594234367461174,0.05530865318067059,4494.688346666666,4545.778027083333,0.3394909064314298,0.3452787394410861,1.0170485656611403,179.22672075251708,0.3452776852800455,0.3394919624711421,0.3394919624711421,0.3452776852800455,0.34238482293625794,35,0.023264422517921827
8360,1000.0,0.4,2500.0,0.1,2.5,A,2.37512616275675,0.052835314414970164,1.8318017582998796,0.054465110197367876,962.6737131578948,1194.5328375,1.2354676240276843,1.504833293161321,1.2180272990525576,179.8215443593025,1.5048306820966,1.2354708429264787,1.2354708429264787,1.5048306820966,1.3701504585945026,35,0.22068757706785874
8361,1000.0,0.4,2500.0,0.15714285714285714,2.5,A,2.345552281135479,0.05287159255396524,1.823992612473565,0.05453557763694582,971.4589947368423,1189.693136585366,1.2322927744300296,1.4926319569931783,1.2112640664338579,179.82364141495268,1.4926294923013979,1.2322957939407826,1.2322957939407826,1.4926294923013979,1.362462365711604,35,0.2097517501927901
8362,1000.0,0.4,2500.0,0.2142857142857143,2.5,A,2.3145621347927205,0.05291094805575153,1.8143795672461753,0.05460495674176871,987.2961256410257,1188.770592682927,1.2275457475914904,1.4781888671569516,1.204182304453611,179.8255245549698,1.4781865445812161,1.2275485732298546,1.2275485732298546,1.4781865445812161,1.352867307374221,35,0.19879723646156033
