sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,cable_angle,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean,H_max,K_mean,K_max,k1_mean,k2_mean,H_mean_x0,H_mean_y0,H_crown
1321,motif1_nocable,1,False,0.8603146869833301,1.3848405001587123,42.54957042127881,974.2176831374068,0.0,0.05515204,5871.02304045,5823.18424172,0.0,370.18641498,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01321_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01321_stress.csv,,,,,,,0.3073112025400329,0.3061111956929971,
1316,motif1_nocable,1,False,0.9339513737223606,1.1383611426376476,52.67594301518981,1088.171682770478,0.0,0.17206433,2807.28300508,2550.31426185,0.0,123.24024151,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01316_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01316_stress.csv,,,,,,,0.8901110697308394,0.9269487747358414,
1323,motif1_nocable,1,False,0.8958684903630056,1.3808046776642673,30.89005173556336,662.2037148517054,0.0,0.03916347,5703.56009645,5679.54461669,0.0,349.80863225,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01323_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01323_stress.csv,,,,,,,0.2196868296163374,0.2172005967887362,
1307,motif1_nocable,1,False,1.222637488668409,0.8277861147293829,62.569307709594334,781.1332411220787,0.0,0.20454962,2918.22396178,1857.37324639,0.0,100.72642208,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01307_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01307_stress.csv,,,,,,,3.4518460775489115,4.579334121332174,
1318,motif1_nocable,1,False,1.0154784025254442,1.3929955683373825,29.31737845134856,1149.8820760609058,0.0,0.06657023,5980.93166758,5915.46107546,0.0,340.01500151,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01318_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01318_stress.csv,,,,,,,0.3722176897664587,0.3653953682599793,
1306,motif1_nocable,1,False,1.3919151936713638,0.8640685837111405,64.2038598794613,910.5067826968374,0.0,0.13816838,3094.52736247,2765.78314477,0.0,162.61834705,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01306_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01306_stress.csv,,,,,,,1.902878050853836,2.7300692414636933,
1328,motif1_nocable,1,False,1.3720408396106645,1.0580158655614331,11.942513304478112,754.6642654806242,0.0,0.08883729,2291.53708544,2228.2532519,0.0,142.61310677,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01328_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01328_stress.csv,,,,,,,0.4840716146963731,0.4912474614003861,
1329,motif1_nocable,1,False,1.273533815240258,1.3789030195953018,73.87233568359339,381.9953911958187,0.0,0.02253914,5606.00881596,5599.06342427,0.0,298.79982751,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01329_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01329_stress.csv,,,,,,,0.1261054099317697,0.1260803848939153,
1303,motif1_nocable,1,False,1.176753971007326,0.9265126382147256,82.43803156567155,1049.7044462179815,0.0,0.23029256,1856.62912858,1465.05994148,0.0,73.81190852,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01303_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01303_stress.csv,,,,,,,1.2558908938999676,1.0806162125539616,
1325,motif1_nocable,1,False,1.2659864089860768,1.14877502633276,22.119219770065207,599.5772752931857,0.0,0.07080046,2466.51940334,2411.18906059,0.0,136.94855846,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01325_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01325_stress.csv,,,,,,,0.3921923939869283,0.3901120541743935,
