sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path
2073,material_ext_nocable,3,False,0.8754746091550967,1.2306683800093299,7.346456326810253,649.1743424556047,3119.881485018294,11735.442214435336,0.26585120765032977,0.14318284948921828,0.06504029,3537.44609125,3479.67794761,5.80431882,194.59531808,,,,
2074,material_ext_nocable,3,False,0.8358183532292478,0.9307081156378073,80.90250131344617,618.5119227315995,3191.736920441855,10139.289629187444,0.3147890076296833,0.17181448120094883,0.05084877,4732.69052471,4695.22947239,3.94296952,253.11589283,,,,
2071,material_ext_nocable,3,False,0.8576428723504014,1.205666171367344,53.51369469511529,211.15860198737352,1971.7681271587219,11696.606280450434,0.16857608778832806,0.26220577684217017,0.0,2849.11576494,2849.11576494,0.0,151.26253726,,,,
2076,material_ext_nocable,3,False,1.0022290064381913,1.0900708839706672,44.22803269893057,504.6490386787076,8497.539908355959,10104.64588815785,0.8409537555704609,0.1969188562116862,0.13787141,3866.58324281,2648.98738491,7.62557382,164.5685593,,,,
2075,material_ext_nocable,3,False,1.209433800046623,1.2693000862856572,73.85377901621384,233.04535941695087,7179.989864274784,9931.436510608797,0.7229558238231792,0.1516564293098537,0.07089382,4603.11562368,4464.65231934,6.23008797,279.4410621,,,,
2077,material_ext_nocable,3,False,1.2911926056258558,1.26276621735331,10.699602036588109,869.318068656222,14819.511505554992,8670.29542003951,1.7092279775499806,0.1907596633204811,0.06277747,4599.43032497,4541.54362726,2.92091625,249.47645975,,,,
2078,material_ext_nocable,3,False,1.083139429735053,0.8788284765241533,31.046069966973562,675.2862230540366,7896.265198468987,19469.52176028179,0.4055705782448917,0.24804262719133785,0.04227793,2425.8613601,2396.11753516,1.48986637,139.38679652,,,,
2080,material_ext_nocable,3,False,0.815139628889404,0.9998746058296533,48.65648619716762,449.4633456056045,4561.801450893981,15550.163382554227,0.29336035504372127,0.27205990356722815,0.01328944,5574.91508035,5572.55166779,0.31620701,298.92362958,,,,
2081,material_ext_nocable,3,False,0.8116411019378018,1.1735216102318338,72.20871917492504,735.6124149052977,10414.203946088577,1619.9856619401455,6.428577851495427,0.21798705070083,0.17034708,2255.18186386,1632.74110072,13.28465606,85.03254395,,,,
2079,material_ext_nocable,3,False,1.2196946391584405,1.227695886294926,61.241380367559,343.2773846477015,19898.058866085565,8069.661459337118,2.465786076200536,0.12275167623800409,0.0613324,5325.77653872,5242.23948936,5.75248716,354.77635305,,,,
2082,material_ext_nocable,3,False,0.842783684601222,1.0160661014074592,53.07170636881948,535.2486277011725,3598.2045268586844,17729.004183476263,0.20295581689874453,0.151869045604008,0.03388119,5786.27078419,5762.34803336,1.47461567,311.74028015,,,,
2085,material_ext_nocable,3,False,1.2920409481341948,0.8965088428470593,61.44464852101494,612.0935482340403,3026.9114784418352,7957.855780993735,0.3803677223795894,0.28993868663240285,0.14703401,3149.13027232,2842.12444438,21.11475363,146.74062701,,,,
2083,material_ext_nocable,3,False,0.8085316599875128,1.078315967112057,66.37352307384506,724.1568369831919,2456.807943163736,13359.829119410795,0.1838951622213629,0.18430978382546456,0.00553591,3438.3559325,3427.54857555,28.04908905,144.18496578,,,,
2087,material_ext_nocable,3,False,1.0737205515062163,1.080370693577067,19.769537652591794,813.0881530628674,12888.174552540842,15463.011577456693,0.8334841171127577,0.13688912591663502,0.10375994,4232.454776,4068.64633577,9.13001271,223.74210026,,,,
2089,material_ext_nocable,3,False,1.365968973368594,0.9134141227534682,36.98986713979914,808.8065688392019,15554.180239716294,14846.275602010517,1.047682304753248,0.25526554993453243,0.0,1953.51471535,1953.51471535,0.0,103.66854077,,,,
2092,material_ext_nocable,3,False,1.2246765962703576,1.0008720168102268,57.97043984854995,1148.0982090607442,16070.733383895038,16657.068652425492,0.9647996126590331,0.1645469636787424,0.11072211,2718.24886844,2582.09929298,7.77474279,161.33068934,,,,
2090,material_ext_nocable,3,False,1.2394429337482016,0.82833563792212,71.15096566247156,222.13720154766708,1345.2166521369872,5975.15758882948,0.22513492441636374,0.2269888253802388,0.02668671,5659.90984636,5647.77588138,1.42837231,311.44543363,,,,
2093,material_ext_nocable,3,False,1.0276562304741295,0.9219329507604608,82.54270903767475,200.74558482775387,2124.263032194738,14080.961017606456,0.15086065713402774,0.2861926889294987,0.21307271,1233.79297752,903.30212869,22.35256296,39.86799949,,,,
