sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,cable_angle,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean,H_max,K_mean,K_max,k1_mean,k2_mean,H_mean_x0,H_mean_y0,cable_wale_lrest,cable_course_lrest,cable_wale_tension,cable_course_tension
2440.0,motif1_nocable,1.0,False,0.8830727183886095,0.8359460948318642,81.78518777555718,649.6342587732524,,0.0,1870.10269594,1870.10269594,,95.01910047,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02440_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02440_stress.csv,,,,,,,2.0501380188617725e-15,2.275281746083065e-15,-1.0,-1.0,0.0,0.0
2432.0,motif1_nocable,1.0,False,0.9752439561187,1.05217957985772,86.85970471137321,1124.3890133312452,,0.23047954,2124.52877889,1796.71601162,,75.3589771,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02432_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02432_stress.csv,,,,,,,1.049779879357728,1.3021812952150766,-1.0,-1.0,0.0,0.0
2439.0,motif1_nocable,1.0,False,1.2682557720225698,0.9759327391578092,4.931363844879272,1165.6789767333476,,0.18552071,1956.93721911,1798.88774122,,100.79062086,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02439_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02439_stress.csv,,,,,,,0.9258162517135412,1.0007093521505246,-1.0,-1.0,0.0,0.0
2438.0,motif1_nocable,1.0,False,1.34005572109744,0.9353237446949512,41.62646208882138,953.7350909406412,,0.14590111,2383.27682519,2185.12469852,,127.89267555,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02438_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02438_stress.csv,,,,,,,0.7759258748117746,0.7829174605540757,-1.0,-1.0,0.0,0.0
2445.0,motif1_nocable,1.0,False,1.3205757144350154,1.304776067065514,77.46989260046848,574.7349460709419,,0.03993775,4555.00534587,4533.29263071,,243.0500275,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02445_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02445_stress.csv,,,,,,,0.2223334410684039,0.2229056651312061,-1.0,-1.0,0.0,0.0
2401.0,motif1_nocable,1.0,False,1.0110107917269142,0.8870395138646364,36.30958023298927,726.1982522091093,,0.28840504,1705.59355464,876.40768972,,30.96419745,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02401_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02401_stress.csv,,,,,,,1.4838727716232682,1.3810424166077504,-1.0,-1.0,0.0,0.0
2428.0,motif1_nocable,1.0,False,0.864580733660278,1.0989779844006609,53.69468979698544,434.4353119011381,,0.12850455,2034.35834198,1688.07789616,,81.26850016,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02428_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02428_stress.csv,,,,,,,2.9907950117411928,3.309730807140595,-1.0,-1.0,0.0,0.0
2441.0,motif1_nocable,1.0,False,1.0315020720430208,1.362810519366487,70.80010808484539,924.9229307603364,,0.06003796,5416.50807296,5366.15768462,,300.12252721,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02441_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02441_stress.csv,,,,,,,0.3330583130261361,0.335945209707261,-1.0,-1.0,0.0,0.0
2429.0,motif1_nocable,1.0,False,0.9085704493245036,1.0400072358531485,5.576142566938341,984.4788184575498,,0.23718932,2122.43262652,1735.80310943,,77.40546639,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02429_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02429_stress.csv,,,,,,,1.5109317115678689,1.0282178139873297,-1.0,-1.0,0.0,0.0
2448.0,motif1_nocable,1.0,False,1.3354399323944348,1.084217122552384,1.1886316353809565,372.1162945193818,,0.04734263,2074.28646733,2053.66509348,,131.35949743,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02448_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02448_stress.csv,,,,,,,0.2630288031920582,0.2637767551945019,-1.0,-1.0,0.0,0.0
