face,region,dist_to_seam_M,dist_to_seam_C,strain_max,strain_min,resid_rot
215,2,0.020701881,0.43778651,0.2231925,-0.098751741,0.17127339
216,0,0.22094871,0.19686226,0.058205587,-0.14662229,0.12536725
217,0,0.29031456,0.30656799,0.055794056,-0.15868267,0.13971056
218,0,0.092811069,0.23130917,0.091975963,-0.14285446,0.1316515
219,0,0.11281759,0.18431541,0.05047986,-0.13912747,0.12202715
220,2,0.11057483,0.19904666,0.1575897,-0.086659068,0.13260787
221,2,0.043158456,0.17633974,0.14802005,-0.062552523,0.085987997
222,0,0.23382205,0.36653461,0.055882679,-0.1638314,0.13792138
223,0,0.02608385,0.44338384,0.051115066,-0.12589646,0.13405821
224,0,0.1035901,0.068047407,0.067801805,-0.0759279,0.10278465
225,2,0.024002449,0.095984346,0.14879002,-0.076784497,0.10432391
226,0,0.15531264,0.28081891,0.065679562,-0.15231805,0.12788528
227,0,0.26423853,0.18351055,0.064024831,-0.14435734,0.12982629
228,0,0.021289128,0.38201162,0.070496503,-0.1202216,0.12688201
229,0,0.042631878,0.28777068,0.096644859,-0.13574938,0.13043525
230,0,0.15536291,0.42766499,0.058964626,-0.142473,0.13756657
231,0,0.12299231,0.095081636,0.071847418,-0.13183768,0.1387207
232,2,0.16472218,0.34552779,0.17838656,-0.029720518,0.13117277
233,0,0.15162852,0.36112943,0.057708271,-0.13755784,0.13385199
234,0,0.021118969,0.043791062,0.057599008,-0.10765358,0.12611346
235,2,0.19286232,0.30357789,0.17279941,0.0031558245,0.12985886
236,2,0.18122467,0.26694593,0.21981463,0.021465685,0.14497233
237,2,0.12582098,0.46218138,0.26190806,-0.082771196,0.16916795
238,0,0.01704732,0.51055513,0.086892242,-0.13408476,0.14527617
239,2,0.21538647,0.46331577,0.22191638,-0.05285421,0.144166
240,0,0.018743554,0.42853729,0.081310493,-0.12833998,0.13932837
241,2,0.085654989,0.20893174,0.15617935,-0.039432749,0.083277324
242,0,0.040602555,0.067193265,0.079676634,-0.083532583,0.11423497
243,0,0.021905808,0.20561115,0.10847234,-0.13156091,0.12782013
244,0,0.21244703,0.27939548,0.055859123,-0.1527325,0.13072661
245,0,0.021907542,0.25548349,0.12693004,-0.13769488,0.13842401
246,0,0.11017371,0.26648472,0.071175404,-0.15152971,0.12899662
247,2,0.021957438,0.18296001,0.16044099,-0.10113815,0.11765026
248,0,0.21910104,0.22417456,0.077180147,-0.14524696,0.13223659
249,0,0.15012637,0.12638868,0.055400144,-0.11384497,0.11462982
250,0,0.093052971,0.12552285,0.084621334,-0.13452877,0.12768176
251,0,0.10696321,0.11088544,0.062391214,-0.11396607,0.11656418
252,0,0.087523932,0.1695858,0.072847859,-0.13659997,0.12626994
253,0,0.044612121,0.24665401,0.088259568,-0.14139097,0.13119812
254,0,0.28733731,0.25634832,0.061378275,-0.15837118,0.1309361
255,0,0.17186285,0.31488529,0.05693794,-0.16002073,0.1350182
256,0,0.16609878,0.39447067,0.065963658,-0.14694997,0.13588155
257,2,0.09080582,0.21847317,0.16063306,-0.084684996,0.12076514
258,2,0.02584022,0.049516505,0.15739394,-0.074357292,0.13270905
259,2,0.11069352,0.25254026,0.20983245,-0.061394786,0.11849338
260,0,0.23208588,0.17113086,0.059716226,-0.14375983,0.13028463
261,0,0.049761981,0.098827981,0.082742148,-0.13618292,0.1269108
262,0,0.022296446,0.18645668,0.11005023,-0.13554248,0.13379733
263,0,0.21789001,0.36554932,0.058508884,-0.15363535,0.14401888
264,0,0.11608814,0.16516853,0.05659863,-0.14067016,0.12269883
265,0,0.209769,0.37946072,0.052460714,-0.16146411,0.13581071
266,0,0.043962487,0.15430281,0.073754649,-0.1362568,0.12692477
267,0,0.21608925,0.38813746,0.059362246,-0.15358835,0.14427444
268,2,0.018410333,0.1560075,0.17749068,-0.070632487,0.11495434
269,0,0.26432845,0.2227775,0.073001501,-0.14518569,0.12687517
270,0,0.13173039,0.32761794,0.096220151,-0.14759345,0.14041776
271,0,0.14277051,0.082183854,0.059983453,-0.073449603,0.10129357
272,0,0.047654633,0.22296444,0.089919499,-0.14406411,0.1295963
273,0,0.085621565,0.29083096,0.084566385,-0.13690015,0.12809754
274,0,0.020905503,0.12233289,-0.023785879,-0.13394841,0.11865655
275,0,0.17225842,0.30706239,0.084199766,-0.15523442,0.14495748
276,0,0.12156222,0.12516482,0.078677311,-0.13359273,0.12106602
277,0,0.27045658,0.32338215,0.055883463,-0.15411579,0.12296695
278,0,0.17611538,0.17009747,0.056321238,-0.14324099,0.12661924
279,0,0.23509572,0.30409768,0.071031249,-0.14927891,0.13165599
280,0,0.04228852,0.11274282,0.053715612,-0.11334144,0.11801459
281,0,0.10972665,0.23915525,0.091244786,-0.14681859,0.13476119
282,2,0.17237332,0.17404918,0.1138737,-0.04243951,0.097699895
283,0,0.26105011,0.30399947,0.055590871,-0.16398292,0.14771586
284,2,0.21341299,0.22500672,0.17928966,-0.1149054,0.22801506
285,0,0.10264337,0.32093976,0.07277885,-0.13690311,0.1277117
286,0,0.20932076,0.14239758,0.073906113,-0.1238048,0.1237819
287,0,0.043730984,0.3086045,0.092952324,-0.12100705,0.12581013
288,0,0.023053675,0.026735863,0.068047865,-0.14050118,0.13437175
289,0,0.1600689,0.19166777,0.050502227,-0.14308991,0.12420569
290,2,0.097328995,0.4031058,0.23697846,-0.051909652,0.14686525
291,2,0.021201068,0.090699347,0.17680091,-0.088912164,0.14216277
292,2,0.18070206,0.19724726,0.055197067,-0.27898989,0.23461041
293,0,0.23125631,0.078208368,0.069451814,-0.10321228,0.121447
294,0,0.049761882,0.3617696,0.071232519,-0.13059016,0.12415109
295,2,0.077593063,0.45659551,0.20200012,-0.091792753,0.1630382
296,2,0.040561464,0.17282881,0.10205249,-0.1019853,0.12951472
297,2,0.081581488,0.21125315,0.12747769,-0.102132,0.14110867
298,2,0.023489679,0.049563131,0.1640573,-0.09268788,0.13423743
299,2,0.17226393,0.31731787,0.078966426,-0.13590054,0.13659722
300,2,0.022628425,0.10427217,0.18272828,-0.085793182,0.1394746
301,2,0.04153844,0.53295235,0.22098,-0.1184406,0.17662796
302,0,0.16878932,0.067755393,0.065330571,-0.08183831,0.10336182
303,2,0.11972668,0.63586527,0.26135462,-0.11983987,0.18421407
304,0,0.048472048,0.050343059,0.081521073,-0.1344387,0.13229403
305,2,0.13144643,0.55119035,0.274194,-0.10585037,0.17663091
306,2,0.096934581,0.28395204,0.20731859,-0.027286364,0.12932076
307,2,0.1760863,0.49094402,0.22752866,-0.096930392,0.20254386
308,2,0.31521332,0.43411207,0.29582482,0.011626172,0.17509212
309,2,0.089490618,0.32236735,0.18626366,-0.05578573,0.13029809
310,2,0.12249275,0.35175136,0.20597676,-0.025642883,0.13909081
311,2,0.049653421,0.40171695,0.26663178,-0.074656977,0.14183185
312,2,0.30194962,0.42791971,0.39380856,0.03120001,0.18601848
313,2,0.094229005,0.44141618,0.23079747,-0.089369155,0.15671825
314,2,0.1269546,0.39077129,0.16999692,-0.062583875,0.13449993
315,2,0.04872162,0.37947228,0.21095033,-0.076918056,0.14940608
316,2,0.12720383,0.44546165,0.19528646,-0.085076968,0.15213231
317,1,0.048556411,0.22267546,0.088363939,-0.11993642,0.12133352
318,2,0.20943132,0.3795338,0.33593531,0.0053767567,0.14512837
319,2,0.045542094,0.30958455,0.24551433,-0.048322131,0.14991688
320,2,0.073932402,0.47395512,0.2281961,-0.11719979,0.17712192
321,1,0.16189611,0.19815623,0.066453185,-0.15926951,0.13725653
322,1,0.1542734,0.1071833,0.049693499,-0.1467384,0.12642201
323,2,0.16806262,0.50598193,0.25214978,-0.11349301,0.18517099
324,2,0.03661096,0.38011412,0.19659051,-0.093885008,0.13374028
325,2,0.16648937,0.48246044,0.25718413,-0.109343,0.18624414
326,0,0.22089325,0.0201025,0.058155283,-0.11257203,0.10733205
327,2,0.10743974,0.44105333,0.23059318,-0.098342883,0.17621749
328,2,0.020963891,0.41314867,0.23703604,-0.10127109,0.16681566
329,2,0.019951716,0.040145726,0.16891527,-0.064347174,0.1255096
330,1,0.087169085,0.10489344,0.067893946,-0.142621,0.12754073
331,2,0.12077009,0.27599399,0.15973905,-0.027724653,0.10783743
332,2,0.14459793,0.41192367,0.21446613,-0.066276244,0.1455082
333,2,0.14275456,0.52051855,0.25154156,-0.10794867,0.17275261
334,2,0.086616256,0.45194443,0.24263356,-0.10876285,0.16812551
335,2,0.098880132,0.27152372,0.16208721,-0.060256752,0.10148703
336,2,0.11269146,0.24233027,0.19021811,-0.004768408,0.1248914
337,2,0.04042009,0.22186158,0.10784511,-0.083348953,0.1094862
338,2,0.02051824,0.30424778,0.21497345,-0.071937924,0.16195578
339,2,0.21150064,0.41508579,0.22431335,-0.043207602,0.13309013
340,1,0.095406281,0.18528529,0.082799055,-0.14520119,0.13695719
341,1,0.043340276,0.30284134,0.069330104,-0.12158874,0.13250567
342,1,0.045492496,0.27142048,0.084515434,-0.12803172,0.13084775
