factor,multiple,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
pressure,1.0,50.0,0.38909505,0.6802801555970809,1665.91641051,1054.65415451,1.5795855005037145,44.94298621,0.00221732135012275,0.0037379481139390293,0.0038766869767945756,0.024944946665737513,0.09540233246917239,1.20433399769111,0.2585586620388418,2.1501093333433783,8.315750539505729,2.034054010389358
pressure,-1.0,-50.0,0.38317984,0.6699382096402012,1610.40189033,971.33665001,1.6579235328075193,42.59336312,0.0022603720285352897,0.003863536317274602,0.0039519552748853454,0.02442547432129571,0.08810603435188988,1.1553058467546962,0.1346280472243313,2.175983646285061,16.16292957632528,2.230863645959949
pressure,1.5,75.0,0.39055098,0.6828256526085141,1696.53790923,1075.52493209,1.5774045385756186,45.52160725,0.003310902289487502,0.0055648367886668515,0.005788665583536178,0.02518627758625369,0.09715791509409105,1.2148870791384012,0.2858509362167301,2.1439232220600726,7.500144132585824,1.9919354650857797
pressure,-1.5,-75.0,0.38167679,0.6673103296713602,1598.63947831,950.56044863,1.6817862352826136,41.99595787,0.0034079060805375905,0.0058482908282078,0.005958263613809404,0.02441667153934404,0.08620367235353553,1.1410423191255692,0.09936303267257429,2.182721605578564,21.967139557537163,2.288592313198377
pressure,2.0,100.0,0.39199824,0.6853559912956535,1727.08269796,1096.4082952,1.5752185618451162,46.09718072,0.004394934305652864,0.007365928683037919,0.007683949187450416,0.02546790923416903,0.09891032845715764,1.2248593009297923,0.31186679993270383,2.137851801926881,6.855015674602738,1.9521825651328677
pressure,-2.0,-100.0,0.38016341,0.6646643890923744,1586.81743597,929.81105779,1.7066020270199738,41.39404566,0.004567737576203452,0.007872093395565093,0.007986072372460963,0.024459510347946273,0.08426526641931184,1.1258304434482502,0.062104103476428474,2.189556783420072,35.25623366016571,2.3504504041698766
E1,0.25,125.0,0.38470919,0.6726120716077651,1662.95206118,1017.46045241,1.6344144455355107,44.28096529,0.0010970107669681598,0.0018678611940933499,0.0019179751971780989,0.024486514528997895,0.09002008865219474,1.169016800730037,0.16884400386564824,2.1691895975944258,12.84730015831941,2.175596787969885
E1,-0.25,-125.0,0.38766789,0.6777849590458477,1604.51283969,1008.47402603,1.5910304066098664,43.26664466,0.0011422397524636135,0.001931512067707575,0.0019970519710675243,0.02475068101637435,0.09366710659074776,1.1934491546235129,0.23065090247813935,2.156247406768886,9.34853227800941,2.077572421761884
E1,0.5,250.0,0.38332247,0.6701875789359371,1692.09514241,1021.98255356,1.6556986579816972,44.78254663,0.0021516972596632563,0.003676424902673759,0.003761952115817287,0.024428954993906755,0.0882854336702386,1.1566181071208208,0.1378888093516184,2.175347404890023,15.776098257131634,2.225566446937881
E1,-0.5,-250.0,0.38924871,0.6805488093584409,1585.68618063,1004.00781313,1.5793564152520032,42.75383016,0.0023328894298836186,0.003931498397723187,0.004078742159151117,0.024968384460091145,0.09558829506548282,1.2054734858320715,0.2614942393417332,2.14945273232241,8.219885599519468,2.0295046426004393
E1,1.0,500.0,0.38071497,0.665628717275478,1750.23593994,1031.08848617,1.6974643431828906,45.77483043,0.004144509178079934,0.007131421026730898,0.00724611466668041,0.024437874770697053,0.08497450597811324,1.1314773164211156,0.07589392360110825,2.187060709241123,28.817336164303754,2.3274521918329296
E1,-1.0,-500.0,0.39263872,0.6864757840919299,1566.57095231,995.12385421,1.5742472112214165,41.7168414,0.004873739291601194,0.00815851162848349,0.008521075052561236,0.025605419924848983,0.09969582038789643,1.2291159922955086,0.3230425093234577,2.1351894752675595,6.609623853341313,1.9352250304610408
E1,1.5,750.0,0.37830657,0.6614179550806364,1808.19180057,1040.28088748,1.738176508221933,46.75307293,0.005997183629728628,0.010393258732822886,0.01048526577959822,0.02458310620698991,0.08185260607141352,1.1059061528050838,0.013813597499824137,2.1979987081103434,159.1184851113786,2.431992574757743
E1,-1.5,-750.0,0.39659815,0.6933983128068949,1547.06754105,986.29579925,1.5685634494503806,40.66495205,0.00765498478206866,0.012730028863478668,0.013383707242327946,0.02655575462098895,0.10422522792151093,1.2537902687213442,0.3854255819623509,2.1221549554803376,5.5060044138108974,1.8434082064517723
E1,2.0,1000.0,0.37607425,0.6575150449897923,1865.97193816,1049.56350905,1.7778551960604676,47.71789332,0.007725604912601922,0.013485884347023743,0.013507177004761194,0.02483470672123665,0.07889669356240096,1.1282559457908783,0.04831977639683993,2.2081921151849166,45.69955160904533,2.539264692369031
E1,-2.0,-1000.0,0.40121423,0.7014689053797086,1527.16361907,977.51149618,1.5622973489702945,39.59903298,0.010716344396408265,0.017706141020123533,0.018736081154002143,0.027877422921165036,0.1091534336776251,1.2765802276402594,0.4470775695265017,2.106082885754017,4.7107773444875845,1.7540401600296616
r,0.25,0.062535,0.38555746,0.6740951571612522,1656.55446404,1019.53955329,1.6248064714060253,44.44835486,0.0005755731369557501,0.0009059646443432351,0.0010063119105878093,0.024619183630286527,0.09132478111839089,1.1858829078023987,0.20214095624133321,2.169624859363464,10.733227445373217,2.124442956707722
r,-0.25,-0.062535,0.38677829,0.6762296135681317,1611.29050738,1006.36363461,1.6011016813067076,43.09834828,0.0005943113922966321,0.0009345668589245202,0.0010390732198332247,0.024577536809053557,0.09231766124351293,1.1765896121250254,0.197195671943736,2.155983552306315,10.933219431517045,2.128452282821697
r,0.5,0.12507,0.38498064,0.6730866652789949,1679.65248521,1026.10256109,1.6369245618349806,45.11607342,0.001133380499397822,0.0017847514064989528,0.0019815627633429094,0.02465794276690269,0.09085338525258595,1.1903584403129754,0.20433358448901906,2.176383296136932,10.65112865111947,2.1229479711889963
r,-0.5,-0.12507,0.38742494,0.6773601937762758,1589.80926406,999.76369391,1.5901850344678716,42.41672589,0.001208411267036888,0.0018992915656633965,0.002112743929189331,0.024577251710730018,0.09284101719725449,1.1717604400697632,0.19441598461747378,2.1491048955220524,11.054157402492175,2.1310269059131084
r,1.0,0.25014,0.38388831,0.6711768737708188,1726.6604576,1039.15264363,1.6616042582236776,46.43571059,0.0021992496787206473,0.0034660308488817485,0.003845091099557582,0.024765654755172582,0.08995647195858285,1.19899486530977,0.20822031508704453,2.189769415532495,10.516598318550631,2.1208431563907046
r,-1.0,-0.25014,0.38879815,0.6797610660373531,1583.34734391,986.5801996,1.6048845745657108,41.04245068,0.002500623789075201,0.003926026954581439,0.004372003037103248,0.024625210742193527,0.09394680743591025,1.1617027371987314,0.1881619395018035,2.1352435348956593,11.347903516243218,2.1374893707508993
r,1.5,0.37520999999999993,0.38287082,0.6693979298970315,1779.62196244,1052.07483633,1.691535526738702,47.7331791,0.003204098441151448,0.005053465089708236,0.005601933476395736,0.02490717365918473,0.08911578422793574,1.2072429618206493,0.21151298022229303,2.2029729434190055,10.415308512526064,2.1197775695868306
r,-1.5,-0.37520999999999993,0.39028932,0.6823681754303451,1577.3553216,973.48769161,1.6203135747831545,39.65747304,0.003886946636154426,0.00609528504108713,0.006795801340676741,0.02474950470386828,0.09514712564345025,1.15105977018031,0.180858087466782,2.121261452893838,11.7288725243401,2.145989775314153
