factor,percent,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
pressure,-1.0,-10.0,0.37866825,0.6620503037231502,2851.3306554,928.10807835,3.072196786035011,62.70354101,0.00025977850262959247,0.00039161312503538994,0.00045418763407459816,0.010276473773217385,0.022674330181458497,1.9844418175990295,1.7139756324339364,2.2549080027641226,1.3156009689367834,16.980352386601968
pressure,1.5,15.0,0.37909799,0.6628016460855531,2849.95803859,937.099672,3.0412539068629614,62.84231103,0.0003868594140222369,0.0005827094035623898,0.0006763714479668673,0.010252711313265732,0.022210458703549995,1.9806650352240531,1.7095831781304724,2.251746892317634,1.3171321063067833,17.009063819000744
pressure,-1.5,-15.0,0.37858241,0.6619002240740864,2851.59938084,926.32825057,3.07838973828696,62.67544766,0.00039024483795454336,0.0005883797281517907,0.0006822904045802581,0.01028580693829403,0.02276766538313055,1.9851905486243686,1.7148365612179073,2.25554453603083,1.3153116670365963,16.9748202803453
pressure,2.0,20.0,0.37918406,0.6629521278585602,2849.67794155,938.91625515,3.035071473008782,62.86974798,0.0005150830368640442,0.0007757174654473383,0.0009005531385282,0.010252462961303294,0.022118249776892376,1.9799035527313955,1.7086885157258107,2.25111858973698,1.317454040931947,17.015005550860266
pressure,-2.0,-20.0,0.37849661,0.6617502143596216,2851.86609419,924.55466011,3.0845835484196202,62.64723352,0.0005211019057851165,0.0007858006758077897,0.0009110763181115677,0.01029669077640327,0.022861199648594562,1.9859369442618833,1.7156913168487895,2.256182571674977,1.3150282626707628,16.969356716254634
E1,0.25,12.5,0.37879917,0.6622791996650821,2858.09624021,933.12678505,3.0629238019963747,62.90274759,6.374932263116128e-05,9.660822325246275e-05,0.00011145708257850149,0.01026503301990743,0.022533286138275547,1.983322207703675,1.7126998412063401,2.2539445742010096,1.3160184405770972,16.988258274885194
E1,-0.25,-12.5,0.37888109,0.6624224257234617,2843.4775713,930.24734543,3.0566897989755866,62.61597939,6.396782905148101e-05,9.693214791803151e-05,0.00011183911154959915,0.010260166768210423,0.02244296644541669,1.9825504037661323,1.711767862279439,2.2533329452528257,1.3163776437841421,16.995048146700103
E1,0.5,25.0,0.37875851,0.6622081111453835,2865.40437099,934.56873209,3.0660178032941707,63.04608588,0.0001272823819049175,0.00019290080015384422,0.00022253605787851707,0.010268001394712753,0.02257818705667043,1.9837040735885556,1.7131595523716106,2.2542485948055004,1.3158427606376966,16.98491871112349
E1,-0.5,-25.0,0.37892235,0.6624945632621426,2836.16703228,928.80986795,3.0535496339415262,62.47254985,0.00012815613356966483,0.0001941797654237176,0.0002240636946820336,0.010258276884497045,0.022397549624387496,1.9821606336268474,1.711295965889754,2.253025301363941,1.3165608674783065,16.998498338035553
E1,1.0,50.0,0.37867776,0.6620669306740192,2880.0182273,937.45704308,3.0721602110297734,63.33266997,0.0002537032489974542,0.000384532703550644,0.0004435658734375433,0.01027498922789777,0.022667477491388432,1.9844607788640056,1.7140683430616876,2.2548532146663236,1.3154978468587082,16.978348524277813
E1,-1.0,-50.0,0.37900548,0.6626399048421365,2821.54354265,925.9394355,3.047222566048706,62.18560086,0.0002571970306824415,0.0003896721675973283,0.0004496742789499848,0.01025560324736091,0.02230617160344645,1.981373167515712,1.710340097813192,2.252406237218232,1.3169347079555203,17.00551261373843
E1,1.5,75.0,0.37859778,0.6619270964436823,2894.62887919,940.35119332,3.078242362803024,63.61912953,0.00037927546606833637,0.0005749205463366079,0.0006631119390265298,0.010283353297677891,0.022756095442832452,1.9852072928622921,1.714961258874694,2.25545332684989,1.3151628441623517,16.971922215603282
E1,-1.5,-75.0,0.37908943,0.6627866800814061,2806.91683414,923.07508371,3.040832629625871,61.89853325,0.0003871357178259489,0.0005864786303012609,0.0006768545278584865,0.010254432772519502,0.02221408758837733,1.9805751267425453,1.7093679624480609,2.25178229103703,1.3173186467190796,17.01267924808447
E1,2.0,100.0,0.37851856,0.661788590970723,2909.23632947,943.25112315,3.084264898359798,63.90546318,0.0005040099570165875,0.0007640675103680228,0.0008811933536078739,0.010293059917451866,0.02284404166133699,1.985943740804949,1.7158386347133026,2.2560488468965954,1.3148374219196644,16.9656407031983
E1,-2.0,-100.0,0.37917421,0.6629349064636012,2792.28690348,920.21687501,3.034379154859181,61.61134853,0.0005179857240912874,0.0007846202425378009,0.0009056280951964949,0.01025479713386789,0.022121276453075663,1.9797665271725717,1.7083799514691864,2.251153102875957,1.3177121991744238,17.019998288763745
r,0.25,0.0062534999999999995,0.37882061,0.6623166846100487,2852.79149699,931.82999193,3.061493536048692,62.8072042,2.2578207950085272e-05,4.121344683472031e-05,3.947494787556348e-05,0.010265368869871035,0.022505412674778933,1.983199796922318,1.712746846507736,2.2536527473369,1.3158119379592277,16.988249221106155
r,-0.25,-0.0062534999999999995,0.37885956,0.6623847834256478,2848.77977371,931.54313,3.0581297655106963,62.71153485,2.2665184396532973e-05,4.135566345740301e-05,3.962701444777559e-05,0.01025950413066125,0.022470942362604635,1.9826747866510845,1.71172377226978,2.2536258010323893,1.3165826388238075,16.99503857604381
