sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,r_binary,E2,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
4255,material_r_cable,3,True,1.0350618754988403,0.9654694814929956,57.73034873532642,1593.5374363914989,15522.47236841309,2.54725789121808,0.392579017400475,39539.74023165484,0.2121561365637548,0.13237097,7452.15080614,1919.38572443,2680.25494663,488.72341629,67.70607457,1.2041245035495305,1.288639618917686,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04255_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04255_stress.csv,5.97308271965057,0.06049156982958397,2.44776515893958,0.06254427894928369,3729.588184313725,2658.698552173913,0.4186416393619988
4256,material_r_cable,3,True,0.9549419581675668,1.1821576667831388,86.11134908582474,580.5745263971507,10557.797014542955,4.528003885186065,0.220847867041728,47805.745900856346,0.4590977726874879,0.01526566,16848.30398094,10740.17933629,965.08924451,1109.14835359,578.22571997,1.212609771290965,1.23181746691754,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04256_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04256_stress.csv,,0.056411551380724914,,0.05708248536297307,10548.837196078432,10178.950191489363,
4257,material_r_cable,3,True,1.1879064156810362,1.0516723235138876,85.3126772323862,1823.4739964969065,13094.947195952447,3.8782831794906634,0.2578460503576045,50785.9134463808,0.4316995744328945,0.07005217,12361.64370696,6207.16439921,0.0,1635.75536471,334.12922463,1.3173360890898398,1.221791034741018,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04257_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04257_stress.csv,1.1985005759628093,0.05613349220923578,1.0463822746570834,0.05381517936581399,6182.432017777777,6295.624974468085,0.06776224481545688
4258,material_r_cable,3,True,0.9408993648590456,1.0219085180476135,55.98895982013576,1023.430913862092,3267.390330530586,1.0419384759480457,0.9597495659137778,3404.41970132042,0.3699382839836695,0.23486952,1490.41260697,703.55991625,685.66133417,295.45827264,19.67615704,1.286700414324441,1.3379304473861968,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04258_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04258_stress.csv,5.2912006019713,0.05603126212035489,3.3005456270208136,0.05971875067137168,733.5676782608696,770.1622522727273,0.23169387478335793
4259,material_r_cable,3,True,1.310593925604996,0.9974420146580948,79.37638564765753,332.2593707351398,7424.263609766586,3.3228092639128124,0.3009501661321476,24669.41190026319,0.1076642003339439,0.03176543,4528.79370463,2599.74594659,938.87751191,0.0,146.62770671,1.211438654645373,1.3490397198588258,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04259_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04259_stress.csv,1.1387245776166186,0.058493266754810126,0.7199587861448528,0.06063919751112091,2615.678470833333,2718.739227083333,0.2253023832011373
4260,material_r_cable,3,True,1.1920769274507437,0.8883163966372344,41.69279787401059,1773.9678171096234,10328.778954596586,1.9654625228755933,0.5087860940420976,20300.82794232574,0.3010648098630371,0.18920476,4282.42568303,3065.00919552,283.15712649,130.2527654,160.90548537,1.3342936663159342,1.361293085098454,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04260_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04260_stress.csv,1.4701856414652115,0.05352577038362465,1.3599799728909174,0.05636586441078566,3144.8469232558145,3079.360897777777,0.03893965357195754
4261,material_r_cable,3,True,1.062892763256789,1.2312774954064225,62.736759539921614,1755.1159072426942,19836.998710367057,4.739167320775655,0.2110075319806034,94010.85603044037,0.2844630892786214,0.02180332,35702.749586,25451.12824688,1406.00021095,1849.78792764,1285.5688988,1.2292609228040998,1.2275701436240682,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04261_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04261_stress.csv,0.8042712122077489,0.054333942527135894,0.6318924365337866,0.055677019535274194,25384.605748979593,24787.019668085108,0.12002725164713113
4262,material_r_cable,3,True,1.3971635942814151,1.2550220831818095,24.38190665253253,428.2936902372024,12939.772723514525,1.1484409881419395,0.8707456546094703,14860.565372925135,0.1231873412595142,0.0149772,8563.71767493,6246.48046298,1577.16365737,0.0,384.78961087,1.2048140599563846,1.3207366147244863,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04262_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04262_stress.csv,,0.05758895187070671,,0.060262757792705866,6433.183004081633,6394.54888125,
4263,material_r_cable,3,True,1.0252959941391042,1.0931962036526843,65.13056758849454,448.43637697923816,7729.630029846776,2.8634495428050326,0.349229132572876,22133.4055750168,0.2583317494745902,0.05935627,4352.98479918,2368.88354826,3.99076067,355.9525351,113.8171608,1.2982749289760958,1.2470320269116306,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04263_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04263_stress.csv,1.080745237259188,0.054855880750709594,0.8428469134596683,0.054079659680481326,2418.7647022222222,2401.773925531915,0.12367399384043845
4264,material_r_cable,3,True,1.1160128167624097,1.288261133341226,62.358290905454105,1481.052888802775,10186.90519317797,2.573958687338229,0.388506624025934,26220.67311907136,0.155534777440031,0.06172441,8766.4457322,8543.34230143,3.76468745,37.9159467,439.58138998,1.2988716513438356,1.296859976978097,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04264_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04264_stress.csv,1.0714826743826413,0.052956242561699354,0.8578204618317457,0.05530869336416321,8598.37209111111,8517.532420833333,0.1107457965211918
4266,material_r_cable,3,True,1.1320534660324342,1.3145810361372408,81.04033542465255,1709.0592000946208,10143.792194234917,4.066075809167467,0.2459373722805111,41245.428054200376,0.3611848095406563,0.03146917,24211.96156119,16785.75291067,0.0,1871.68343008,891.32729331,1.3113062055239912,1.2171880809722408,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04266_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04266_stress.csv,0.9235451319643904,0.054122011709686814,0.6790442768524613,0.05351343007990558,16896.817037777775,15889.35394893617,0.152566124402655
4267,material_r_cable,3,True,1.0646857204161428,1.1000482504760511,41.98041059487542,1624.4395684669332,2830.845161433197,1.1037517469601128,0.9060008310330112,3124.5502923054737,0.2970064106932704,0.27470465,1920.18137067,1183.07118312,442.82320551,449.71597046,31.35072796,1.3738636233306416,1.369522392183088,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04267_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04267_stress.csv,2.6335467745306023,0.05807167953962975,2.5287184213520137,0.05609178778631078,1096.4386619047618,1231.271209090909,0.020306657872245466
4268,material_r_cable,3,True,0.9048229878368292,0.9189638254077876,10.905459356671066,1762.5747964971831,3773.1506968909785,1.2750852675055124,0.7842612768605899,4811.088865683844,0.2805924290985739,0.31436979,1985.74280284,967.0815972,866.41294997,761.98181099,17.45996773,1.3745087342023157,1.3729096047321327,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04268_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04268_stress.csv,5.85592079856795,0.05711764768140324,4.840989508725373,0.05872195701131912,942.0325928571428,1054.8771045454546,0.09488078900227669
4269,material_r_cable,3,True,1.170902712501401,1.3672887609954645,26.782833199415183,774.9625707668737,13600.754079140184,4.514450823192496,0.221510885634773,61399.9354486131,0.4821258068714228,0.00765166,34712.57608203,33977.50725406,112.46149571,0.0,1844.3809231,1.2855306513031264,1.3046936600603165,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04269_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04269_stress.csv,,0.05289750278059711,,0.05533550942172473,33791.90426444444,33964.3105875,
4270,material_r_cable,3,True,1.395618849837374,1.1186756359412753,42.9965487428432,666.3871261383297,19504.55168051637,4.29625126380876,0.2327610604211889,83796.45480744174,0.1471007740538276,0.01310243,16900.79937027,12440.16543099,808.11476104,912.07454182,736.66669964,1.2551061200334832,1.2494811331328042,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04270_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04270_stress.csv,,0.05440182659091093,,0.05509645518073208,11715.849442222223,12361.233524999998,
4273,material_r_cable,3,True,0.9793228998485204,1.0813456937992842,66.809354791361,627.1521713636321,9528.079482055788,3.4782564841246124,0.287500362484532,33141.10423971522,0.1598566919833313,0.07784424,4221.81292867,3169.7299206,205.45698635,0.0,139.53024236,1.2680669293374816,1.3920172561299238,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04273_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04273_stress.csv,0.9921626509506404,0.05357848244082916,1.0249269089998856,0.05994346137129824,3307.777733333334,3158.3693083333333,-0.016243333315377844
4274,material_r_cable,3,True,1.1890011757118073,1.3752009334033055,29.394847484262343,734.0846133923227,3388.2014686520465,1.740238775361559,0.574633788281287,5896.279574485272,0.1050921812724184,0.06511191,4739.92699402,2557.14490421,1176.89864712,0.0,138.90936553,1.2026163151000389,1.3436704417948264,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04274_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04274_stress.csv,1.567616848113023,0.05664323479834649,1.0130281351516184,0.062272921095638444,2295.4765875,2553.205170212766,0.21490314109762704
4277,material_r_cable,3,True,1.3578791247414252,1.049594378659335,51.75634604253456,1179.5043745263358,13279.36152562406,2.2818028837526163,0.4382499501251466,30300.88542356253,0.1356443661988615,0.06204666,5517.67381617,5200.04498913,79.64383731,0.0,327.97547091,1.2910780015590269,1.3567482326667086,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04277_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04277_stress.csv,1.0511385379392164,0.0529308804727479,0.8609038799388923,0.0555573526498422,5150.581342222224,5236.529064583333,0.09949290675854214
4278,material_r_cable,3,True,1.0877418116519335,1.0743541998854986,3.161781506956725,1107.414126174644,18178.166401048988,2.323953051282266,0.4303012917787815,42245.20527443456,0.2041600925540289,0.06544299,7297.69945812,3923.61326693,342.69257362,825.80894374,209.68877361,1.2747190645184765,1.2342193935240635,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04278_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04278_stress.csv,1.0007651023122843,0.05632887919731661,0.923835471973769,0.054254839592320823,3379.8699888888896,4507.349263829786,0.03997173822264549
4279,material_r_cable,3,True,1.2154979219619402,0.8141729900019037,78.4602020313386,438.399603760367,13453.308651049889,1.1082917839700976,0.90228946425807,14910.19144517243,0.275252973749525,0.0022359,6983.32646484,3936.23270606,0.0,494.0633773,176.9043068,1.3579506095081535,1.2129812271361375,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04279_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04279_stress.csv,,0.1953218533650036,,0.0993017151413868,3913.7104955555556,4501.572037254902,
4280,material_r_cable,3,True,0.8067815321041197,0.9808385223321932,23.86203638588148,1557.925175493236,5170.436309734525,2.325700838783545,0.4299779160431695,12024.888062426482,0.4017246723135991,0.2738565,3575.09024731,1651.77068292,618.79449285,230.90452695,75.68147026,1.3804468899007123,1.3993994586046563,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04280_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04280_stress.csv,3.919851944984977,0.056210372503490695,2.121406714662873,0.056498932030961464,1454.7015292682927,1806.4453348837212,0.29769379721061917
4281,material_r_cable,3,True,0.9205932875805902,1.3374115565092908,52.550995493859126,1586.0740939463492,14287.247140440804,2.3727534894447526,0.42145128200149,33900.11550704048,0.218921008801031,0.04036341,14498.80923324,13386.71270573,0.0,191.91248525,787.13610036,1.319432117430404,1.278801822000767,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04281_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04281_stress.csv,0.9664532725986131,0.05310518362032938,0.7374678047423311,0.05493215717006755,13429.843944444445,13327.721722916669,0.1343873674088389
4282,material_r_cable,3,True,1.2951628091152163,1.226917142071545,21.26270027189706,1336.7007194077366,14573.062055324555,1.835537923121051,0.5447994222313061,26749.408058544628,0.4475098102792114,0.03388686,11080.80865748,11039.72688966,0.0,0.0,650.11582378,1.3750145850494544,1.3704500206195884,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04282_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04282_stress.csv,0.9293727440587396,0.052838792220270575,0.7108431439658425,0.05528034045467414,11047.189035555555,11058.467081250003,0.13323221759306725
4283,material_r_cable,3,True,1.0239548573461847,1.1011772358137617,23.574280698190872,1626.5505893239197,15719.096031245896,2.420708122562869,0.41310226155695,38051.343442182704,0.287130901802628,0.10002796,8360.20162573,4931.48835495,647.63498208,21.62718067,240.80690426,1.264441693247294,1.314874462465779,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04283_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04283_stress.csv,1.0743415726916856,0.05409128565539717,1.0502869437738591,0.0573878908283337,4179.895426666667,5046.915112765957,0.01132180460320796
4284,material_r_cable,3,True,1.1593512817477,0.9290567859154862,14.284775696311913,1325.3964175169756,7309.446074923003,4.863788748913044,0.2056010348359556,35551.601579997114,0.2715024178771007,0.15313981,5312.61388042,1950.34742048,589.93158286,899.56397423,86.57529784,1.2775768104571277,1.2530003478010807,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04284_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/04284_stress.csv,3.177460466801266,0.0562451265732849,3.323884389565755,0.05943257477703081,2821.0094204545458,2282.8633733333336,-0.022522097504347905
