sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,r_binary,E2,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path
3546,material_r_nocable,3,False,0.9339259232514405,1.254602135092263,34.47681092640112,1538.6674570045104,5042.194268718109,1.1551157511055332,0.8657141061776054,5824.318019930333,0.4208188248085344,0.19923722,2530.69047136,2333.13209821,0.0,0.0,131.49466847,,,,
3547,material_r_nocable,3,False,0.8255779643923408,1.2560246609489365,34.64972625970782,836.4155344016244,15036.794942622051,3.727318733087549,0.268289371424816,56046.927475231285,0.3237222945945102,0.01775297,16293.1610017,16274.56784324,0.0,0.0,980.78183125,,,,
3548,material_r_nocable,3,False,1.0465819164781447,1.0151195979517225,64.70823140709479,401.4388119919438,1804.5302539775294,1.8092752580547804,0.5527074974070764,3264.891940932853,0.4521929319367669,0.22331877,628.09679094,515.41562926,0.0,0.0,22.97504051,,,,
3549,material_r_nocable,3,False,1.1988055012939771,1.313209421766083,81.50984076146514,268.00761049498453,12570.49482770369,4.387035369872956,0.22794436691057698,55147.20542594114,0.15895031514298494,0.00523597,19620.91478411,19619.56245036,0.0,0.0,955.44382138,,,,
3550,material_r_nocable,3,False,1.0512443774770608,0.9547146558224037,69.79933144065203,1938.5555418911918,18631.273016841562,2.629803747478789,0.3802565119008241,48996.59159999038,0.4894430879115471,0.18591292,3474.78538723,2795.47680578,0.0,0.0,136.47255727,,,,
3551,material_r_nocable,3,False,1.3890003517504044,1.0329139709102098,83.52207258038253,456.14006522445356,6411.303992342754,3.237891603072943,0.3088429517068895,20759.10736155464,0.43813775433442437,0.03018636,3886.95338769,3871.3717953,0.0,0.0,254.2757537,,,,
3552,material_r_nocable,3,False,1.0981587629546237,1.011938535142971,43.497418788965035,753.7723663431073,18575.15549137145,2.395385661270754,0.41746931033623175,44494.661119905875,0.34199312324416764,0.07958383,2654.96835455,2502.85210299,0.0,0.0,150.17837702,,,,
3553,material_r_nocable,3,False,0.9687608542875088,0.9694500221602275,50.34757805346532,791.3816526660146,19259.20240828073,1.3121289613609703,0.7621202103204681,25270.55725261809,0.2831661732410006,0.19700387,1476.5500099,1142.06493184,0.0,0.0,43.70062594,,,,
3554,material_r_nocable,3,False,1.1505887025616774,1.3222523887926534,13.927861281644866,718.7239092762626,7643.686029210482,2.4250717826632164,0.4123589277434909,18536.487304975384,0.31492523978812065,0.03148582,7428.14343609,7409.04479785,0.0,0.0,408.16511469,,,,
3555,material_r_nocable,3,False,1.0136603533157762,1.3470140486200215,47.761357135754565,1009.0771707969748,17253.74698962162,2.7618137654790074,0.36208089498987656,47651.635942028974,0.1635646468187193,0.01913162,19059.22388466,19039.67975717,0.0,0.0,1051.11464501,,,,
3556,material_r_nocable,3,False,1.3902541592392075,1.3454634438946345,15.19167129847181,605.2799740110927,13225.509127505149,1.7306383870585909,0.5778214602645035,22888.573784454184,0.27066332689363,0.01546418,11035.65232298,11027.79776415,0.0,0.0,648.97436245,,,,
3558,material_r_nocable,3,False,0.9890431160061028,1.1819721858300083,76.5368218506525,876.0429929900847,16118.258147334302,2.7424591451606437,0.36463624326532074,44203.66446021701,0.1464514264751281,0.04114951,8831.23710499,8769.67609035,0.0,0.0,426.24274388,,,,
3559,material_r_nocable,3,False,1.3738610361584465,1.054173492463133,82.4040076208976,214.49528321806554,3549.0385938003915,2.6939657090237548,0.37119997357441575,9560.988271700142,0.31625645412704184,0.0318667,1734.65744089,1727.36099997,0.0,0.0,114.20496665,,,,
